Gen. Ed. (Does not apply if you started after Fall 2016),Area of Inquiry,Code,Core. Curr.,Note,Num.,Course Name,Hours,Prerequisites,Description
FA,,WI,"FA,WI",,ART 131,Art Appreciation,3,Non-art major,"Visual art: its significance today and in history. Designed to enhance the student's understanding and enjoyment of painting, sculpture, and architecture."
,,WI,WI,,ATG 268,Business Ethics,3,BUS 100 or equivalent,Investigate the basic ethical frameworks from which business decisions can be made. Application of the frameworks to practical problems which arise in normal business activities.
,,WI,WI,,BIO 152,Molecules to Cells Laboratory,1,"Biology, chemistry, or LSM major, or permission of instructor. Corequisite: BIO 151",Emphasizes the concept of biological molecules and discusses the role of these molecules in the genetics and cell biology of the organism though inquiry based laboratory exercises.
,,WI,WI,,BLW 345,Law of Business,3,BLW 342,"Principles of the law of contracts, sales and the commercial code, commercial paper, agency, business organizations, and bankruptcy."
,,WI,"EL,MI,WI",,BUS 400,Senior Consulting Project,2,FIN 322; M L 350; MTG 315; senior standing Corequisite: M L 452,"Participation in a Senior Consulting Project, where students form cross-functional teams and apply knowledge to address the organizational needs of local business owners and organizational executives. Concurrent enrollment with M L 452 required."
,,WI,WI,,C E 493,Civil Engineering Design Project I,3,CE 393,"First of a two-semester course design project sequence. Discussions of the relationship between the owner, architect, consultant, superintendent, construction manager, general contractor and subcontractors. Methods of project delivery, Project concepts through construction, design phases, and project challenges. Leadership, ethics, public policy issues, LEED, and basic business management practices. Oral and written report of preliminary plan."
,,WI,WI,,C E 498,Civil Engineering Design Project II,3,"C E 493, CON 326, and consent of advisor","Detailed design of systems. Application of engineering design principles to realistic projects in structural engineering, environmental engineering, site development. Codes and standards, feasibility studies, consideration of design alternatives, selection criteria including systems sustainability, and aesthetics. Oral and written report of final design with specifications, engineering drawings, and project cost estimates."
,,WI,WI,,CFA 361,Media in Entertainment,3,"Students must be enrolled in the Bradley University Hollywood Semester in Los Angeles, California","A survey of the mass media, production and public relations industries involved with the entertainment industry.  The course focuses on entry-level jobs and career paths and the responsibilities and skills necessary for success in the industry.  Students explore the multiple areas of the conglomerated mass media and its impact on society."
,,WI,WI,,CHM 361,Biochemistry Laboratory,1,"ENG 101, or CIV 111 and CIV 112; C or better in CHM 360 and CHM 292 or concurrent enrollment. ","Techniques and methods of macromolecular purification and characterization; refining skills of record collecting, data analysis, and presentation of results in manuscript form."
,,WI,WI,,CHM 471,Physical Chemistry Laboratory I,1,C or better in CHM 470 or concurrent enrollment,Experimental and computational studies of the physical properties of matter. Cross listed with CHM 571.
,,WI,"EL,WI",,CIS 475,"Computer Information Systems Analysis, Design and Integration",3,CIS 210 or CS 210 or equivalent; or consent of instructor. CS 390 is recommended,"Computer information systems analysis, design and integration including enterprise computer information systems types and architecture models, sourcing, development methodologies and life cycle, requirements, analysis and design models, conceptual and logic data modeling, testing and quality assurance, validation and verification. Systems implementation, integration, deployment and maintenance, metrics and economics. Cross listed with CIS 575 course."
,,WI,"EL,WI",,CIS 491,Computer Information System Project Management,3,CS 390 or equivalent; or consent of instructor,"Methods of PMBOK-based management of computer information software systems design and development projects, including systems view, main project management process groups and knowledge areas, management plans, project metrics and estimates, tools for project management, project reports and documentation. Cross listed with CS 591 and CIS 591 courses."
,,WI,"FA,MI,WI,HU",,CIV 114,Unified Fine Arts and Western Civilization II,3,,"Combination of Western Civilization with Fine Arts. Study of characteristics of individual art forms and shared elements across a representative selection of the Fine Arts, in combination with a conceptual approach to intellectual, cultural, political, economic, social, and technological elements that have formed the spirit of the various ages from the Renaissance to the present, with a geographical focus on the European continent. Students must take both semesters (113 and 114) to satisfy University Core Curriculum requirements in Fine Arts and either Humanities or Multidisciplinary Integration, and to fulfill one Writing Intensive requirement."
,,WI,WI,,COM 300,Communication Theory,3,COM 101; minimum of 45 credit hours,"Theories and variables of human communication in the interpersonal, group, organizational, intercultural, mediated, and global systems."
,,WI,WI,,COM 305,The Persuasive Process,3,COM 103 or consent of instructor,How persuasive communication influences human behavior. Emphasis on recent theories of persuasion and experimental research. Creating persuasive messages and evaluating persuasive attempts.
CD,,WI,WI,,COM 386,"Media, Race, & Gender",3,Junior standing,"An examination of the historical and current media portrayal and involvement of women and ethnic minorities indigenous to America, with special emphasis on the growth and development of minority media and media systems."
,,WI,WI,,COM 391,Topics in Communication,1-3,Junior standing,Topics of special interest which may vary each time course is offered. May be repeated under different topics.
,,WI,WI,,COM 409,Advanced Screenwriting Workshop,3,COM 101; 201 or 202; and consent of instructor,Creative writing workshop in screenwriting taught by English faculty member in collaboration with professionals in the entertainment industry. Cross-listed with ENG 409/509.  Repeatable to a maximum of 6 hours.
,,WI,WI,,COM 416,Researching Communication in Organizational Culture,3,"COM 103, COM 292, and junior status; or consent of instructor","Introduces students to the use of qualitative methods of data collection aimed at understanding the relationship between organizational culture and communication. Methods include interviewing, field observations, and analysis of organizational websites and documents."
,,WI,WI,,COM 447,Issues and Ethics in Advertising,3,Senior standing,"Students will explore current issues in advertising with special emphasis on present advertising industry development, advertising laws, advertising literature, special interest research, ethical issues, and problem-solving techniques."
,,WI,WI,,CON 493,Senior Project Planning,1,CON 380 and consent of advisor,"First of a two-semester course design project sequence.  Discussions of the relationship between the owner, architect, consultant, superintendent, construction manager, general contractor, and subcontractors.  Methods of project delivery, project concept through construction, design phases and project challenges.  Leadership, ethics, public policy issues, LEED, and basic business management practices.  Oral and written report of preliminary plan."
,,WI,WI,,CON 498,Senior Project,3,CON 493,"Application of construction principles to actual industry projects.  Detailed estimate of the project, bidding strategies, site layout/development plan for construction staging, preparation of sample contracts using AIA and AGC formats, construction scheduling, project closeout plan, jobsite safety plan, and strategies to achieve LEED rating points."
,,WI,"EL,WI",,CS 390,Introduction to Software Engineering,3,CS 210 or CIS 210 or equivalent,"Software life cycle and its phases, analysis, process models, design, human-computer interaction and graphic user interface development, testing, verification, validation, tools and applications, and evolution of software systems."
,,WI,WI,,CS 480,Social and Professional Issues in Computing,2,CS 210 or CIS 210 or equivalent; or consent of instructor,Introduction to the social and professional issues and practices that arise in the context of computing.
,,WI,"EL,WI",,CS 490,Capstone Project I,3,"CS 370, CS 390 or equivalents",Applies the concepts and skills learned by undergraduate computer science majors at Bradley University. Students are required to work on a team on a significant software project.
