Gen. Ed. (Does not apply if you started after Fall 2016),Area of Inquiry,Code,Core. Curr.,Note,Num.,Course Name,Hours,Prerequisites,Description
FA,,FA,FA,,ART 107,Introduction to Studio Art,3,Open for non-Art majors only,"Two- and three-dimensional visual arts including drawing, painting, photography, printmaking, and sculpture. Designed to enhance the student's understanding of art mediums and their cultural significance."
,,FA,FA,,ART 109,Photographic Appreciation (Online),3,Open for non-Art majors only,"Fundamentals of photographic processes, the history of the medium, as well as basic image manipulation and critique methods.  An emphasis on the development of visual literacy skills necessary for analyzing and critiquing our image-saturated culture."
FA,,FA,"FA,WI",,ART 131,Art Appreciation,3,Non-art major,"Visual art: its significance today and in history. Designed to enhance the student's understanding and enjoyment of painting, sculpture, and architecture."
,,FA,"FA,MI,HU",**,CIV 113,Unified Fine Arts and Western Civilization I,3,,"Combination of Western Civilization with Fine Arts. Study of characteristics of individual art forms and shared elements across a representative selection of the Fine Arts, in combination with a conceptual approach to intellectual, cultural, political, economic, social, and technological elements that have formed the spirit of the various ages from the ancient Near East to the Renaissance, with a geographical focus on the European continent. Students must take both semesters (113 and 114) to satisfy University Core Curriculum requirements in Fine Arts and either Multidisciplinary Integration or Humanities, and for one Writing Intensive requirement."
,,FA,"FA,MI,WI,HU",**,CIV 114,Unified Fine Arts and Western Civilization II,3,,"Combination of Western Civilization with Fine Arts. Study of characteristics of individual art forms and shared elements across a representative selection of the Fine Arts, in combination with a conceptual approach to intellectual, cultural, political, economic, social, and technological elements that have formed the spirit of the various ages from the Renaissance to the present, with a geographical focus on the European continent. Students must take both semesters (113 and 114) to satisfy University Core Curriculum requirements in Fine Arts and either Humanities or Multidisciplinary Integration, and to fulfill one Writing Intensive requirement."
FA,,FA,FA,,MUS 109,Music Appreciation,3,Non-music majors only,"Detailed study of elements of music, and music notation; general survey of music and composers. How music expresses and communicates feelings and ideas: listening to compositions from various periods. Performance by faculty artists in class, and outside listening experiences. Satisfies fine arts general education requirement."
FA,,FA,FA,,PHL 350,Art in Human Experience,3,,"Detailed examination and explanation of various forms of visual, musical, literary, and dramatic arts; function of artistic creation in offering direct experience and appreciation of the essence of human feeling. Background in the arts recommended."
FA,,FA,FA,,THE 131,Introduction to Theatre,3,,"Encouraging audience appreciation of the theatre through attending area theatre activities, discussions, and supplementary readings."
FA,,FA,FA,,THE 141,Film Appreciation,3,,"Encouraging audience appreciation of film art by surveying film history, genres, and technique through lecture, discussion, supplemental reading, and the viewing of domestic and foreign films."
,,FA,FA,,WLF 351,Cinema Francais,3,"FLF 303, WLF 303, or WLF 306","Survey of the history of French cinema from the 1930s to the present, highlighting the major films, directors, and artistic movements.  In addition to an emphasis on the aesthetic qualities of the films, students will explore how French history and culture are presented in films from various eras.  Students will learn the basics of film theory, including the necessary critical vocabulary, so that they may better understand, interpret and analyze film.  The course will be taught in English; coursework will be in French.  Cross listed with WLT 151."
,,FA,FA,,WLG 352,Deutsches Kino,3,WLG 202 or equivalent,"Survey of the history of German cinema from the 1920s to the present, highlighting major films, directors, and artistic movements. In addition to the emphasis on aesthetic qualities of the film, students explore how German history and culture are presented in films from various eras. Topics include: transition from silent to sound, expressionism, propaganda and film as a forum for working through Germany's past, the reunification of Germany and its minority cultures. Students also learn the basics of film theory, including the critical vocabulary, so that they may better understand, interpret and analyze film. Films are shown with subtitles. Coursework in German. Course taught in English."
,,FA,FA,,WLT 151,French Cinema,3,,"Survey of the history of French cinema from the 1930s to the present, highlighting the major films, directors, and artistic movements.  In addition to an emphasis on the aesthetic qualities of the films, students will explore how French history and culture are presented in films from various eras.  Students will learn the basics of film theory, including the necessary critical vocabulary, so that they may better understand, interpret and analyze film.  All films will have subtitles.  The course will be taught in English.  Cross listed with WLF 351."
,,FA,"FA,WI",,WLT 152,German Cinema,3,Consent of instructor,"Survey of the history of German cinema from the 1920s to the present, highlighting major films, directors, and artistic movements. In addition to the emphasis on aesthetic qualities of the film, students explore how German history and culture are presented in films from various eras. Topics include: transition from silent to sound, expressionism, propaganda and film as a forum for working through Germany's past, the reunification of Germany and its minority cultures. Students also learn the basics of film theory, including the critical vocabulary, so that they may better understand, interpret and analyze film. Films are shown with subtitles. Course taught in English."
