Gen. Ed. (Does not apply if you started after Fall 2016),Area of Inquiry,Code,Core. Curr.,Note,Num.,Course Name,Hours,Prerequisites,Description
TS,Global Systems,GP GS,GP GS,,CIS 300,Computers and Society,3,Junior standing or consent of instructor,"History of computers; their use, limitations, and impact on society; Internet and the World Wide Web; creation of Web content."
,Global Systems,GP GS,GP GS,,ECO 391,International Trade,3,ECO 100 or 221; ECO 222; junior/senior standing,Welfare implications of international trade; balance of payments; equilibrium and disequilibrium; external and domestic policy effects on the balance of payments and welfare; international trade and financial cooperation among nations. Cross listed as IB 391.
,Global Systems,GP GS,GP GS,,FCS 237,Sustainability in Retail,3,,"Environmental, economical, and ethical sustainability practices of retail industries from the raw material to disposal."
,Global Systems,GP GS,"GP GS,HU",,HIS 201,"Violence, Crime, and Punishment in U.S. History",3,,"This course explores the social, political, and cultural history of violence, crime, criminal law, policing, and punishment in the United States from the Colonial period to the present."
,Global Systems,GP GS,"GP GS,HU",,HIS 203,American History and Global Systems to 1877,3,,"Surveys the transnational history of the Americas and the United States to 1877. Emphasizes globally significant trends and systems such as colonialism, mercantilism, nationalism, and the slave trade.  Investigates the relevance of systems and their supporting beliefs to the growth and limits of democracy."
,Global Systems,GP GS,"GP GS,HU",,HIS 204,American History and Global Systems since 1877,3,,"Surveys the transnational history of the Americas and the United States since 1877. Emphasizes globally-significant trends and systems such as migration, imperialism, liberalism, progressivism, and consumption economies.  Investigates the relevance of systems and their supporting beliefs to the growth and limits of democracy."
,Global Systems,GP GS,GP GS,,I B 206,Introduction to International Business,3,Sophomore Standing or approval of Director of IB program,"Contemporary international business patterns; emphasis on how international is different from domestic.  Management of strategic international activities for an exporting firm or a multinational corporation.  How international business is affected by countries' social systems; the interface among nations, states, and firms conducting foreign business.  Alternative ways that international business may evolve."
,Global Systems,GP GS,GP GS,,I B 391,International Trade,3,ECO 100 or 221; ECO 222; junior standing,Welfare implications of international trade; balance of payments; equilibrium and disequilibrium; external and domestic policy effects on the balance of payments and welfare; international trade and financial cooperation among nations. Cross listed as ECO 391.
SF,Global Systems,GP GS,GP GS,,I S 100,Contemporary World Forces,3,,"Great international forces influencing the contemporary world: secular and religious nationalism, global terrorism, international conflict and cooperation, poverty, and climatic changes. Understanding and evaluating the impact of these forces on national society and world affairs."
,Global Systems,GP GS,GP GS,,I S 103,Fundamentals of International Studies: Global Analysis,3,,"Overview of principal macro-level phenomena in discipline of international studies; addresses matters with worldwide coverage such as power relationships, war, and globalization."
,Global Systems,GP GS,GP GS,,I S 305,Diplomacy in International Affairs,3,IS 103 or 104 or consent of instructor,"Evolution of modern diplomacy, fundamentals of diplomacy theory, and contemporary use of diplomacy. Negotiation game for application of student's new knowledge of diplomatic practice."
SF,Global Systems,GP GS,GP GS,,I S 306,Intelligence in International Affairs,3,,"Development of secret intelligence practice; contemporary operations of selected intelligence organizations. Emphasis on US capabilities, counterterrorism, management and control, and tension between secrecy and democracy."
,Global Systems,GP GS,GP GS,,I S 318,United States-East Asian Relations,3,,"Critical studies of US relations with China, Japan, Korea, and other selected countries of East Asia since World War II."
,Global Systems,GP GS,"GP GS,MI",,I S 330,European Integration,3,,"Focus on phenomenon of integration, the movement toward political, economic, and social cooperation and unity on the European continent; examination of history, evolution, current and future development of the European Communities/Union."
NW,World Cultures,GP WC,"GP WC,GP GS",,I S 363,Middle East Nations in International Affairs,3,,"Introduction to the modern politics of the Middle East. Examination of Arab-Israeli conflict, politics of OPEC, inter-Arab rivalries, terrorism, and the impact of these issues on the role of the Middle East in international affairs. Impact of the end of the Cold War and the Gulf Wars."
,Global Systems,GP GS,GP GS,,I S 410,Globalization in World Affairs,3,,"Present trends in globalization; challenges presented to nation-states in an increasingly complex international environment. Issues include economic and cultural globalization, global and regional governance."
SF,Global Systems,GP GS,GP GS,,PLS 208,Fundamentals of International Relations,3,,Fundamental issues and problems that have contributed to structuring current patterns of international relations.
SF,Global Systems,GP GS,"GP GS,SB,WI",,RLS 321,Islam & the West: Clash of Civilizations?,3,,"Historical and theoretical analysis of the modern crisis in relations between the Arab Islamic world and the West. Examines the modern rise of nation-states, Western imperialism, and Islamic ""undamentalism"" in the Middle East."
,Global Systems,GP GS,GP GS,,WLS 334,Commercial Spanish,3,"WLS 303, 304; or consent of instructor",Introduction to language skills for commercial communication and Hispanic business practices.
CD,World Cultures,GP WC,"GP WC,MI",,AAS 200,Introduction to African-American Studies,3,,"Provides students with an introduction to the study of African American cultures and the relationship of those cultures to the broader African diaspora.  Often organized around a particular theme, AAS 200 is an explicitly interdisciplinary course designed to familiarize students with the scope, concerns, and methods of African American Studies rather than a chronological survey of African American history."
NW,World Cultures,GP WC,GP WC,,ANT 101,The Anthropological Perspective,3,,"Introduction to field of cultural anthropology and its unique perspective for the study of human culture and societies. Examines modes of social organization and dimensions of culture worldwide. Students are introduced to the diversity of human cultures and to anthropological theories and methods through ethnographic examples drawn from a variety of non-Western cultures. Focuses on processes and institutions of enculturation, including linguistic, economic, kinship, religious, political, and aesthetic practices. Considers the processes of culture change and the effects of colonialism and globalization on these processes."
