Gen. Ed. (Does not apply if you started after Fall 2016),Area of Inquiry,Code,Core. Curr.,Note,Num.,Course Name,Hours,Prerequisites,Description
,,HU,"FA,MI,HU",**,CIV 113,Unified Fine Arts and Western Civilization I,3,,"Combination of Western Civilization with Fine Arts. Study of characteristics of individual art forms and shared elements across a representative selection of the Fine Arts, in combination with a conceptual approach to intellectual, cultural, political, economic, social, and technological elements that have formed the spirit of the various ages from the ancient Near East to the Renaissance, with a geographical focus on the European continent. Students must take both semesters (113 and 114) to satisfy University Core Curriculum requirements in Fine Arts and either Multidisciplinary Integration or Humanities, and for one Writing Intensive requirement."
,,HU,"FA,MI,WI,HU",**,CIV 114,Unified Fine Arts and Western Civilization II,3,,"Combination of Western Civilization with Fine Arts. Study of characteristics of individual art forms and shared elements across a representative selection of the Fine Arts, in combination with a conceptual approach to intellectual, cultural, political, economic, social, and technological elements that have formed the spirit of the various ages from the Renaissance to the present, with a geographical focus on the European continent. Students must take both semesters (113 and 114) to satisfy University Core Curriculum requirements in Fine Arts and either Humanities or Multidisciplinary Integration, and to fulfill one Writing Intensive requirement."
HL,,HU,HU,,ENG 115,Introduction to Literature,3,,"Elements, techniques, and forms of fiction, drama, and poetry."
HL,,HU,"GP WC,HU",,ENG 123,European Writers,3,,Study of the representation of human values in significant texts (in translation) by European writers.
HL,,HU,"HU,WI",,ENG 124,American Writers,3,,Representative works by significant writers from early periods to the present.
,,HU,"HU,MI",,ENG 125,Literatures of Identity,3,,Literature about identity formation studied in a multidisciplinary context. Prerequisite:
HL,,HU,HU,,ENG 127,British Writers,3,,Representative works by significant writers from the Middle Ages to the present.
HL,,HU,HU,,ENG 129,Introduction to African American Literature,3,,Introduction to African American literature from the 1700's to the present.
,,HU,"GP WC,HU",,ENG 140,Global Literatures,3,,"The study of representation of human values in literatures emerging from regions such as the Middle East, Africa, Asia, and Latin America."
HL,,HU,"HU,MI",,ENG 190,Women in Literature,3,,Prerequisite:
NW,,HU,"GP WC, WI, HU",,ENG 381,Literatures of Asia,3,Junior Standing; or permission of instructor,Study of the cultural traditions of Asia through selected literary classics.
