Gen. Ed. (Does not apply if you started after Fall 2016),Area of Inquiry,Code,Core. Curr.,Note,Num.,Course Name,Hours,Prerequisites,Description
CD,,MI,"GP WC,MI",,AAS 200,Introduction to African-American Studies,3,,"Provides students with an introduction to the study of African American cultures and the relationship of those cultures to the broader African diaspora.  Often organized around a particular theme, AAS 200 is an explicitly interdisciplinary course designed to familiarize students with the scope, concerns, and methods of African American Studies rather than a chronological survey of African American history."
TS,,MI,"MI,NS",,BIO 300,"Population, Resources and Environment",3,"Students with credit for ENS 110 may not enroll in BIO 300.  Junior or senior standing, or sophomores by permission","Introduction to the fundamental principles of how the environment functions and how people interact with their environment. The emphasis will be on populations, resource use, pollution, disease and land-use and the associated ethical, economic and political concerns. The course is designed to integrate an understanding of the way in which people interact with their environment and use resources, the consequences of this interaction and mechanisms by which the impacts can be mitigated and sustainable systems achieved."
,,MI,"MI,NS",,BIO 304,Ecology of Place,3,"Junior or senior standing, or sophomores by permission of instructor",Provides a landscape level understanding of the ecological principles and environmental constraints that determine the characteristics of a specific location. Focus will also extend to the historical culture and human enterprise supported by that environment.
,,MI,MI,,BUS 361,Collaboration in Organizations,3,Junior standing,"Designed to provide students some of the knowledge and skills required to adapt to a formal team setting, where collaboration among cross-functional members occurs. Students will study leadership skills and traits, sensemaking and inventing techniques, group effectiveness tactics, and team building methods as applied within the context of product development."
,,MI,MI,,BUS 362,Innovation in Organizations,3,BUS 361 or consent of instructor,"Designed to provide students with knowledge related to developing a product or product enhancement based on the assessment of competitive environments and the strategic needs of the organization. Students will study methods for assessing customer needs, evaluating competitive environments, project planning, feasibility analysis, as well as product and process planning. The course will duly focus on the application of collaboration processes, applying methods of effective team interactions using peer feedback, accountability, and leadership skills."
,,MI,"EL,MI,WI",****,BUS 400,Senior Consulting Project,2,FIN 322; M L 350; MTG 315; senior standing Corequisite: M L 452,"Participation in a Senior Consulting Project, where students form cross-functional teams and apply knowledge to address the organizational needs of local business owners and organizational executives. Concurrent enrollment with M L 452 required."
,,MI,MI,****,M L 452,Strategic Management in Organizations,2,FIN 322; M L 350; MTG 315; senior standing. Corequisite: BUS 400,"Integrative capstone includes the strategic-planning process, environmental analysis, developing strategy, strategic decision making, and strategy execution. Concurrent enrollment with BUS 400 required."
,,MI,"MI,EL",,CIS 459,Computer Game Capstone Project,3,Completion of all other coursework in game design minor or computer game technology minor; or completion of all other coursework in game design concentration or computer game technology concentration; or consent of instructor,"Game development, including advanced game design, software development, and game production concepts. Integration of audio, visual, storytelling, programming, and design. Project builds within multi-disciplinary teams. Cross listed with CIS 559, IM 459. For cross-listed undergraduate/graduate courses, the graduate-level course will have additional academic requirements beyond those of the undergraduate course."
WC,,MI,MI,,CIV 100,Western Civilization,3,,"Required for all students. Team taught by instructors from a variety of disciplines. Emphasis on conceptual approach to intellectual, cultural, political, economic, social, and technological issues that have formed the spirit of the various ages from ancient Greece to the present. Readings from original sources; lecture and small discussion groups."
WC,,MI,MI,,CIV 101,Western Civilization to 1600,3,,"Emphasis on conceptual approach to intellectual, cultural, political, economic, social, and technological issues that have formed the spirit of the various ages from classical Greece to 1600."
WC,,MI,MI,,CIV 102,Western Civilization Since 1600,3,,"Emphasis on conceptual approach to intellectual, cultural, political, economic, social, and technological issues that have formed the spirit of the various ages from 1600 to present."
,,MI,"CM W1,MI",*,CIV 111,Unified Composition and Western Civilization I,3,,"Integration of ENG 101 and CIV 101. Emphasis on clear and effective writing, with analysis of essays as models for writing, using subject matter of Western Civilization. Taught by faculty from a variety of disciplines. Students must take both semesters of the sequence (CIV 111 and 112) to satisfy requirements in both Communication-Writing 1 and Multidisciplinary Integration."
,,MI,"CM W1,MI",*,CIV 112,Unified Composition and Western Civilization II,3,,"Integration of ENG 101 and CIV 102. Emphasis on clear and effective writing, with analysis of essays as models for writing, using subject matter of Western Civilization. Taught by faculty from a variety of disciplines. Students must take both semesters of the sequence CIV 111 and 112 to satisfy requirements in both Communication-Writing 1 and Multidisciplinary Integration."
,,MI,"FA,MI,HU",**,CIV 113,Unified Fine Arts and Western Civilization I,3,,"Combination of Western Civilization with Fine Arts. Study of characteristics of individual art forms and shared elements across a representative selection of the Fine Arts, in combination with a conceptual approach to intellectual, cultural, political, economic, social, and technological elements that have formed the spirit of the various ages from the ancient Near East to the Renaissance, with a geographical focus on the European continent. Students must take both semesters (113 and 114) to satisfy University Core Curriculum requirements in Fine Arts and either Multidisciplinary Integration or Humanities, and for one Writing Intensive requirement."
,,MI,"FA,MI,WI,HU",**,CIV 114,Unified Fine Arts and Western Civilization II,3,,"Combination of Western Civilization with Fine Arts. Study of characteristics of individual art forms and shared elements across a representative selection of the Fine Arts, in combination with a conceptual approach to intellectual, cultural, political, economic, social, and technological elements that have formed the spirit of the various ages from the Renaissance to the present, with a geographical focus on the European continent. Students must take both semesters (113 and 114) to satisfy University Core Curriculum requirements in Fine Arts and either Humanities or Multidisciplinary Integration, and to fulfill one Writing Intensive requirement."
CD,,MI,"GP WC,MI",,COM 315,Intercultural Communication Theory,3,COM 103; junior standing,"Communication across diverse cultures. Intercultural communication theory, skills, and concepts. Developing specific communication skills to facilitate effective communication in intercultural settings."
,,MI,"HU,MI",,ENG 125,Literatures of Identity,3,,Literature about identity formation studied in a multidisciplinary context. Prerequisite:
NW,,MI,"GP WC,MI",,ENG 130,Introduction to Native American Literature,3,,Introduction to Native American literatures from oral storytelling traditions to contemporary genres.
HL,,MI,"HU,MI",,ENG 190,Women in Literature,3,,Prerequisite:
,,MI,MI,,ENG 340,Global British Literature,3,Jr standing or permission of instructor,"Global British Literature combines readings and projects from literature, history, sociology and psychology to explore and explain the issues and consequences of English colonialism."
,,MI,MI,,ENS 105,Introduction to Sustainability,3,,"This course will introduce students to how overconsumption and overpopulation are impacting Earth's ability to support humanity and biodiversity, technologies and policies to increase sustainability, and reasons why humans behave unsustainably."
,,MI,"MI,NS",,ENS 110,Environmental Science,3,Students with credit for BIO 300 may not enroll in ENS 110,"This course examines the science and social implications of environment.  Emphasis will be on basic science, social, economic and political implications of human interactions with natural systems and understanding environmental issues and sustainable resource use."
,,MI,MI,,ENS 307,Science and Politics of Global Climate Change,3,Junior standing or permission of instructor,"The complex problem of global climate change will be explored by connecting knowledge and perspectives from the natural and social sciences, concentrating particularly on the links between atmospheric and terrestrial sciences and international studies/political science. Cross-listed with IS 307."
SF,,MI,"HU,MI",,ETE 115,The History of Education in the United States,3,,"Surveys the history of American education from the Colonial Era to the present. Treats the changing character of education in the context of broader social and cultural developments. Provides both knowledge of the history of American education and an appreciation of historical perspectives as ways of understanding contemporary education. Examine the evolving historical contexts that served to shape and define American education. Specifically, the course will explore the role of education i.e., policies, purposes, practices, and reform efforts throughout U.S. history, and examine its relationships with the American economic, political, social, and cultural landscape."
,,MI,MI,,ETE 328,Early Childhood Methods,6,"Advancement to degree candidacy in the Department of Education, Counseling, and Leadership","Strategies for teaching language arts, science, mathematics, social studies, art, music, and movement in preprimary and primary grades within an integrated, thematic curriculum. Emphasis on the role of play, learning environments, creative and critical thinking, problem solving, acknowledgment and accommodations of exceptionality and diversity, transitions, horizontal relevance, and developmentally and culturally appropriate practices. Preparation for Teacher Performance Assessment."
,,MI,MI,,HIS 210,History of European Film,3,,"Explores the relationship between filmmaking and political, social, and intellectual history from the invention of the cinema in the 1890s to the present day. Students gain a better understanding of film as both an art form and as a reflection of broader historical concerns."
,,MI,"HU,MI",,HIS 309,The History of U.S. Law Enforcement,3,,Historical roots of American law enforcement; establishment of an organized police in the U.S.; historical efforts to improve American police work.
