Gen. Ed. (Does not apply if you started after Fall 2016),Area of Inquiry,Code,Core. Curr.,Note,Num.,Course Name,Hours,Prerequisites,Description
TS,,NS,NS,,AST 300,Astronomy: Our Glimpse of the Cosmos,3,"Junior or senior standing, or sophomores with permission of the instructor or department chair","Various scientific views of the cosmos; how modern astronomy has enlightened and broadened these views. Relationships between man, technology, and the universe through scientific knowledge of planets, stars, galaxies, and the cosmos will be investigated. Experimental discoveries in astronomy are examined, analyzed, and discussed."
FS,,NS,NS,,BIO 101,Diseases of Life,3,,"Explores the science behind disease including the underlying biology, impact on students daily lives, and accuracy of media coverage."
,,NS,NS,,BIO 103,The Biology of Sex,3,,"Introduces the concept of sex as it relates to reproduction, gender, and evolution.  Focus will include impact on students' daily lives, and accuracy of media coverage."
FS,,NS,NS,,BIO 202,Microbiology and Immunology,4,,"Basic bacteriology, parasitology, virology, genetics, and principles of infection and immune response. Emphasis on application to health and disease."
TS,,NS,"MI,NS",,BIO 300,"Population, Resources and Environment",3,"Students with credit for ENS 110 may not enroll in BIO 300.  Junior or senior standing, or sophomores by permission","Introduction to the fundamental principles of how the environment functions and how people interact with their environment. The emphasis will be on populations, resource use, pollution, disease and land-use and the associated ethical, economic and political concerns. The course is designed to integrate an understanding of the way in which people interact with their environment and use resources, the consequences of this interaction and mechanisms by which the impacts can be mitigated and sustainable systems achieved."
TS,,NS,NS,,BIO 301,Biotechnology and Society,3,"Junior or senior standing, or sophomores by permission","Various biotechnologies from medicine, agriculture, and industry; societal impacts of these technologies."
TS,,NS,NS,,BIO 303,Plants and People,3,"Junior or senior standing, or sophomores by permission of instructor","This course examines the interdependence of humans and plants.  Emphasis is on the plants that provide us with food, medicine, recreation, personal hygiene products and material goods as well as those that produce stimulating, intoxicating and psychoactive effects.  Also included are the impacts of plants on human history, health and technology.  Field trips will enrich the learning experience."
,,NS,"MI,NS",,BIO 304,Ecology of Place,3,"Junior or senior standing, or sophomores by permission of instructor",Provides a landscape level understanding of the ecological principles and environmental constraints that determine the characteristics of a specific location. Focus will also extend to the historical culture and human enterprise supported by that environment.
FS,,NS,NS,,CHM 100,Fundamentals of General Chemistry,3,"Education majors, Engineering Technology majors, and allied health majors such as Nursing and Dietetics","Introduction to fundamental chemical concepts, including measurements; basic inorganic nomenclature; atomic structure; nuclear chemistry; periodic properties; molecular structure and bonding; basic thermochemistry; types of reactions; stoichiometry; properties of gases, liquids, solids, and solutions; equilibria; acids and bases. May not be counted for credit in programs offered within the Department of Chemistry and Biochemistry; not open to students with credit in CHM 110."
TS,,NS,NS,,CHM 102,Chemistry and Civilization,3,,A course for non-science majors that broadly surveys chemistry and its effects on civilization. May not be counted for credit in programs offered within the Department of Chemistry and Biochemistry.
,,NS,NS,,CHM 104,Essentials of General Chemistry,3,The mathematics placement exam score is sufficient for placement into MTH 109 . Corequisite: MTH 109,"This course is designed to prepare students for CHM 110 or to be utilized as a Bradley Core Curriculum course. Topics include: mathematical concepts used in General Chemistry; atomic structure; periodic properties; inorganic nomenclature; chemical reactions; stoichiometry; chemical bonding; basic thermochemistry; properties of solutions; acids and bases, chemical kinetics and equilibrium. May not be counted for credit in programs offered within the Department of Chemistry and Biochemistry; not open to students with credit in CHM 110."
FS,,NS,NS,***,CHM 110,General Chemistry I,3,The mathematics placement exam score is sufficient for placement into MTH 115; high school chemistry or C or better in CHM 100 or CHM 104,"Course designed to provide chemical concepts for students majoring in the physical or biological sciences, engineering, or related disciplines. Topics include: measurements; basic inorganic nomenclature; atomic structure; stoichiometry; types of reactions; thermochemistry; periodic properties; molecular structure and bonding; properties of gases, liquids, solids, and solutions; acids and bases."
FS,,NS,NS,***,CHM 111,General Chemistry I Lab,1,CHM 110 or concurrent enrollment,"Laboratory that reinforces and expands upon concepts covered in CHM 110.  Topics include: measurements; stoichiometry; spectrophotometry; thermochemistry; periodic properties; molecular structure and bonding; properties of gases, liquids, solids, and solutions; equilibria; acids and bases."
FS,,NS,NS,,CHM 112,Engineering Chemistry,3,C or better in CHM 110,Continuation of CHM 110. For students majoring in engineering and related disciplines. Topics include: thermodynamics; equilibria; electrochemistry and corrosion; descriptive chemistry of metals and nonmetals; properties of metallic and silicon-based materials; organic and polymer chemistry; nuclear chemistry; environmental chemistry.
,,NS,"MI,NS",,ENS 110,Environmental Science,3,Students with credit for BIO 300 may not enroll in ENS 110,"This course examines the science and social implications of environment.  Emphasis will be on basic science, social, economic and political implications of human interactions with natural systems and understanding environmental issues and sustainable resource use."
,,NS,NS,,ENS 305,Sustainability and Food,3,"Junior or senior standing, or sophomores by permission of instructor",Introduction to how the concept of sustainability and the basic principles of evolutionary and ecological processes impact food production and distribution.
,,NS,,,ENS 302,COULD NOT FIND CLASS,,,
FS,,NS,NS,,GES 101,Principles of Earth Science,3,,"The earth in space; weather, earth materials, and geological processes that control development of the earth's surface."
