Gen. Ed. (Does not apply if you started after Fall 2016),Area of Inquiry,Code,Core. Curr.,Note,Num.,Course Name,Hours,Prerequisites,Description
,,EL,EL,,ART 317,Color: Perception and Practice,3,"ART 101, 102, 105, 106,  140, 142, or consent of Art Department chair","Perception, relationships, and interaction of color. Studio experience leads from a visual realization of color relationships to an awareness of the interdependence of color with form and placement."
,,EL,EL,,ART 406,Graphic Design Portfolio,3,"Art 405, or consent of the Art Department Chair","The capstone course for the graphic design program, involving organizing and producing an effective professional design portfolio along with sharpening professional presentation and interviewing skills. Students create a print and digital portfolio, résumé package, and other promotional materials. The process of developing the portfolio may include reworking previous projects or developing new material."
,,EL,,,ART 310,Intermediate Painting II,3-6,ART 309 or consent of Art Department chair,"Independent work in painting emphasizing aesthetic research and concentrated studio production. Emphasis on the study of painting media, creative expression, critical analysis, and aesthetic awareness. Repeatable up to 6 semester hours."
,,EL,,,ART 421,COULD NOT FIND CLASS,,,
,,EL,EL,,ATG 430,Professional Interviewing Skills,3,"ATG 301, ATG 383","Planning and implementation of fact-to-face encounters in order to achieve business objectives. Information interviews, interrogations, and other interviews used in business. Listening skills and analysis of non-verbal communication. Cross-listed with ATG 530."
,,EL,EL,,ATG 461,International Accounting Issues,3,,"Significant accounting matters experienced by multi-national companies. Accounting matters include currency transactions and translations, transfer pricing, management planning and control, and taxation. Cross-listed with ATG 561."
,,EL,,,BUS 301,COULD NOT FIND CLASS,,,
,,EL,,,BUS 400,COULD NOT FIND CLASS,,,
,,EL,EL,,CHM 283,Laboratory Assistant,0,CHM 110 and CHM 111,"Working under the direct supervision of a faculty mentor, students who participate as laboratory assistants have the opportunity to gain experience in laboratory preparation, maintenance, and instruction. Course may be repeated; course graded. Satisfactory/Unsatisfactory."
,,EL,EL,,CHM 299,Directed Studies in Chemistry and Biochemistry,0-6,C or better in CHM 110 and CHM 111; consent of instructor,"Studies undertaken by freshman or sophomore students under the guidance of faculty mentors. Maximum of 3 hours per semester; repeatable for up to 6 hrs credit. At the completion of the semester, students are required to submit a research report, describing the goals, methods, and results of the study. Zero credit course graded Satisfactory/Unsatisfactory."
,,EL,EL,,CHM 499,Directed Studies in Chemistry and Biochemistry,0-6,C or better in CHM 252 and CHM 253; consent of instructor,"Studies undertaken by advanced students under the guidance of faculty mentors. Maximum of 3 hours per semester; repeatable for up to 6 hours credit. At the completion of the semester, students are required to submit a research report describing the goals, methods, and results of the study. Zero credit course graded Satisfactory/Unsatisfactory."
,,EL,,,CIS 59,COULD NOT FIND CLASS,,,
,,EL,"EL,WI",,CIS 475,"Computer Information Systems Analysis, Design and Integration",3,CIS 210 or CS 210 or equivalent; or consent of instructor. CS 390 is recommended,"Computer information systems analysis, design and integration including enterprise computer information systems types and architecture models, sourcing, development methodologies and life cycle, requirements, analysis and design models, conceptual and logic data modeling, testing and quality assurance, validation and verification. Systems implementation, integration, deployment and maintenance, metrics and economics. Cross listed with CIS 575 course."
,,EL,"EL,WI",,CIS 491,Computer Information System Project Management,3,CS 390 or equivalent; or consent of instructor,"Methods of PMBOK-based management of computer information software systems design and development projects, including systems view, main project management process groups and knowledge areas, management plans, project metrics and estimates, tools for project management, project reports and documentation. Cross listed with CS 591 and CIS 591 courses."
,,EL,EL,,COM 360,Digital Journalism,3,"COM 101, ENG 101; and COM 201 or COM 202",Designed to help students effectively use cutting-edge interactive technologies employed in online journalism and to understand their applications.
,,EL,EL,,COM 414,Advanced Video:  Studio Production,3,"COM 101, 201, 203, 204 and 314; senior standing","For students entering broadcasting. Preparation and development of television programs; emphasis on creative formats and uses of the camera, sound, music, lighting, and graphics. Development of production and critical skills. This course may be taken concurrently with COM 435 only with consent of instructor."
,,EL,,,COM 480,Public Relations:  Case Studies and Campaigns,3,"COM 327, COM 400, and senior standing","The capstone course in the PR sequence. Theory and strategy are stressed through studies of classic PR case programs and development of PR campaigns for actual businesses and organizations. A final campaign requires research, writing, production, application and analysis skills."
,,EL,"EL,WI",,CS 390,Introduction to Software Engineering,3,CS 210 or CIS 210 or equivalent,"Software life cycle and its phases, analysis, process models, design, human-computer interaction and graphic user interface development, testing, verification, validation, tools and applications, and evolution of software systems."
,,EL,"EL,WI",,CS 490,Capstone Project I,3,"CS 370, CS 390 or equivalents",Applies the concepts and skills learned by undergraduate computer science majors at Bradley University. Students are required to work on a team on a significant software project.
,,EL,EL,,CS 491,Capstone Project II,1-3,CS 490,Applies the concepts and skills learned by undergraduate computer science majors at Bradley University. Students are required to work on a team on a significant software project.
,,EL,EL,,ECE 200,Engineering Co-Op,0,"Sophomore standing in the College of Engineering and Technology, 2.0 overall grade point average at Bradley, approval of engineering and technology Co-op coordinator and Co-op faculty advisor",Full-time cooperative education assignment for electrical engineering students who alternate periods of full-time school with periods of full-time academic or career-related work in industry. Satisfactory/Unsatisfactory.
,,EL,,,ECE 402,COULD NOT FIND CLASS,,,
,,EL,,,ECO 498,COULD NOT FIND CLASS,,,
,,EL,EL,,ECO 499,"Senior Seminar in Economics, Part II",3,ECO 498; senior standing (junior standing with consent of instructor),Capstone project where each student completes a senior research thesis under the guidance of an economics faculty member.  Student explores an area of economics in which he or she has a particular interest.
,,EL,EL,,EGT 210,Sophomore Engineering Internship,0,"Sophomore standing in the College of Engineering and Technology, 2.0 overall grade point average at Bradley, approval of engineering and technology Co-op coordinator and Co-op faculty advisor",Full-time internship away from campus for engineering and technology students to gain academic or career-related work experience in industry. May be repeated only with consent of internship coordinator and internship faculty advisor. Satisfactory/Unsatisfactory.
,,EL,EL,,EGT 310,Junior Engineering Internship,0,"Junior standing in the College of Engineering and Technology, 2.0 overall grade point average at Bradley, approval of internship coordinator and internship faculty advisor",Full-time internship away from campus for engineering and technology students to gain academic or career-related work experience in industry. May be repeated only with consent of internship coordinator and internship faculty advisor. Satisfactory/Unsatisfactory.
,,EL,EL,,EGT 410,Senior Engineering Internship,0,"Senior standing in the College of Engineering and Technology, 2.0 overall grade point average at Bradley, approval of internship coordinator and internship faculty advisor",Full-time internship away from campus for engineering and technology students to gain academic or career-related work experience in industry. May be repeated only with consent of internship coordinator and internship faculty advisor. Satisfactory/Unsatisfactory.
,,EL,EL,,EHS 301,Cooperative Education Or Internship in EHS,0-9,"Sophomore standing in the College of Education and Health Sciences, 2.0 Bradley overall grade point average and EHS cumulative grade point average, consent of EHS Co-op and Internship coordinator and Co-op and Internship faculty advisor",Cooperative education or internship experience. May be repeated to a combined total of 9 credit hours. Pass/Fail.
,,EL,EL,,ENC 305,Service Learning: Outreach & Engagement,1-3,,"A service learning experience administered by The Lewis J. Burger Center for Student Leadership and Public Service in collaboration with the Education, Counseling, and Leadership department. Not intended to satisfy departmental or major program requirements. Course may be repeated for a total of 3 hours credit with a combined total of 3 hours available for all service learning experiences. The number of hours awarded for the service learning assignment will be dependent upon the number of total hours worked during the semester. Satisfactory/Unsatisfactory."
,,EL,"CM W2,EL",,ENG 302,Advanced Writing:  Travel Writing,3,"ENG 101, or CIV 111-112; junior standing","Intensive practice in travel writing techniques of narration, description, analysis, and evaluation."
,,EL,"WI,EL",,ETE 227,Development of the Early Adolescent,3,"ETE 115; ETE 116; ETE 210; major in an education program or consent of Associate Dean & Director of the Department of Education, Counseling, and Leadership","Required for the Illinois middle school endorsement, surveys the physical, cognitive, and social/emotional development of young adolescents from a cultural perspective, emphasizing implications for effective middle school instruction. Preparation for Teacher Performance Assessment."
,,EL,"WI,EL",,ETE 228,Strategies for Middle School,3,"ETE 115; ETE 116; ETE 210; one of: ETE 215, ETE 216; major in an education program or consent of Associate Dean & Director of the Department of Education, Counseling, and Leadership","Philosophy, concepts, and procedure related to organizational structure, curriculum, teaching strategies, and assessment in the middle school. Preparation for Teacher Performance Assessment."
,,EL,,,ETE 301,COULD NOT FIND CLASS,,,
,,EL,,,ETE 302,COULD NOT FIND CLASS,,,
