Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
ENC 200,Introduction to Leadership Studies,3,,,,Interdisciplinary introduction to leadership theory and development of student leadership skills and experience. Students study theories of leadership development grounded in varied academic disciplines and apply the theoretical framework to case studies and to live leadership presentations. This is the required initial course for the Minor in Leadership Studies.
ENC 276,Theory and Practice of Career And Life Planning,3,,,,Current theory and practice of career and life planning; personal applications.
ENC 300,Advanced Leadership,3,,,ENC 200,Advanced leadership theories and the development of leadership skills will be developed and discussed. Students study theories of leadership development grounded in varied academic disciplines and apply the theoretical framework to case studies and to live leadership presentations.
ENC 301,Planning Employment Strategy,1,,,,"Prepares students for finding internships and full-time employment after graduation. Develops a systematic approach to long-term career planning including occupational research, organizational research, and practice of job-seeking skills. Pass/Fail."
ENC 305,Service Learning: Outreach & Engagement,1-3,,EL,,"A service learning experience administered by The Lewis J. Burger Center for Student Leadership and Public Service in collaboration with the Education, Counseling, and Leadership department. Not intended to satisfy departmental or major program requirements. Course may be repeated for a total of 3 hours credit with a combined total of 3 hours available for all service learning experiences. The number of hours awarded for the service learning assignment will be dependent upon the number of total hours worked during the semester. Satisfactory/Unsatisfactory."
ENC 370,Human Relations Development-Techniques,2,,,"PSY 101 (or PSY 104) or ETE 225, or consent of instructor. Corequisite: ENC 375","Basic literature, research findings, and techniques of the lay and professional helper; effect of the lay helper on human relations."
ENC 375,Human Relations Development Laboratory,1,,,,Supplemental practice sessions and exercises in skills of EHC 370. To be taken concurrently with EHC 370 CoRequisite: ENC 370
ENC 380,Independent Study,1-3,,,,"Individual study and investigation through selected readings, discussion, and/or written assignments. Students select subject of study with advisor approval. May be repeated up to a maximum of 3 credit hours."
ENC 381,Seminar in Leadership,1-6,,,,Special topics or current issues related to leadership in various fields. May be repeated under different topics to a maximum of six hours.
ENC 384,Topics in Counseling,1-3,,,,Topics of special interest which may vary each time course is offered. Topic stated in current Schedule of Classes. May be repeated under different topics for a maximum of three hours credit.
ENC 440,Interpersonal Relations and Communications in Education,2,,,,"Principles and procedures for building effective relationships and communications among teachers, students, parents, school personnel, and others. Emphasis on practical concepts and skill building. Opportunities for extensive practice and evaluation of skills. Simulated experience in staffings, parent conferences, and other important interactions."
ENC 486,Leadership Practicum,3,,,"ENC 200, ENC 300","Provides an opportunity to apply leadership concepts discussed in the classroom through involvement, volunteerism, and interaction with leaders from the surrounding community."
ETE 100,Technology Applications,1,,,"Major in an education program or consent of Associate Dean & Director of the Department of Education, Counseling, and Leadership","Application of technology concepts and skills to human service professionals. Database construction; linear and nonlinear multimedia projects. Using graphics, text, sound, animation, and other media resources."
ETE 107,Conceptualizing Math for Teachers I,3,,,"Major in an education program or permission of Associate Dean & Director of the Department of Education, Counseling, and Leadership","Development of a deep understanding of concepts, relationships, and algorithms in various areas of mathematics examined. Topics include set theory, variables, patterns and algebraic relationships, equations and systems of equations, graphing; real numbers and operations, properties of number systems, ratios and proportions, percents; measurement systems, measurement relationships. Focus is on problem solving, analysis, representation of concepts, and communicating understanding and reasoning of the mathematical concepts studied."
ETE 108,Conceptualizing  Math for Teachers II,3,,,"Major in an education program or consent of Associate Dean & Director of the Department of Education, Counseling, and Leadership; ETE 107","Development of a deep understanding of concepts, relationships, and algorithms in various areas of mathematics examined. Topics include data presentation, computation, and meaning of descriptive measurements; basic combinatorics, probability concepts, probability distributions, expectations; linear, quadratic, exponential, and other functions, geometric constructions, 2-D and 3-D shapes, spatial relationships, geometric reasoning and proof. Focus is on problem solving, analysis, representation of concepts, and communicating understanding and reasoning of the mathematical concepts studied."
ETE 115,The History of Education in the United States,3,SF,"HU,MI",,"Surveys the history of American education from the Colonial Era to the present. Treats the changing character of education in the context of broader social and cultural developments. Provides both knowledge of the history of American education and an appreciation of historical perspectives as ways of understanding contemporary education. Examine the evolving historical contexts that served to shape and define American education. Specifically, the course will explore the role of education i.e., policies, purposes, practices, and reform efforts throughout U.S. history, and examine its relationships with the American economic, political, social, and cultural landscape."
ETE 116,Introductory Field Experience,1,,,"Major in an education program or consent of Associate Dean & Director of the Department of Education, Counseling, and Leadership; ETE 115 or concurrent enrollment","Exhibit professional and ethical behaviors, engage in a minimum of 25 hrs of directed observations throughout the semester in an academic setting. Besides observing within a classroom, candidates work with a group of children at an appropriate level, depending on the individual areas of licensure. Collaborate with professionals to develop foundational knowledge related to planning for instruction and assessment, a sense of the whole school culture including an awareness of the social and emotional development of children. Introduced to the language of teaching and apply the knowledge in their reflections analyzing the setting. Preparation for Teacher Performance Assessment. Weekly seminar"
ETE 120,Early Childhood Professional Roles and Responsibilities,3,,WI,"Major in an education program or consent of Associate Dean & Director of the Department of Education, Counseling, and Leadership","Meeting education needs of children from birth through age eight. Care for the whole child including an awareness of the social and emotional development of children. Career opportunities, roles, and responsibilities. Preparation for Teacher Performance Assessment. This is a Writing Intensive course."
ETE 194,Physical Education for P-6 Schools,1,,,"Major in an education program or consent of Associate Dean & Director of the Department of Education, Counseling, and Leadership",Content and pedagogy for physical education in grades P-6 to meet the needs of diverse learners. Introduction to physical education in the regular classroom.
ETE 196,Fine Art in the P-6 Schools,2,,,"Major in an education program or consent of Associate Dean & Director of the Department of Education, Counseling, and Leadership","Content and pedagogy for fine art in grades P-6 to meet the needs of diverse learners. Introduction to including art, music, dance, and theatre in the regular classroom using traditional methods and newer technologies."
ETE 210,Human Development from Birth to Young Adulthood,3,,,"Major in an education program or consent of Associate Dean & Director of the Department of Education, Counseling, and Leadership","Integration of the physical, cognitive, and psychosocial aspects of the development and growth of the individual from conception to adulthood. Study the physiology of learning, the interactive nature of the teaching/learning process, and the need to consider developmental and cultural appropriateness in meeting individual learning needs, with an emphasis on acknowledging and accommodating exceptionality and diversity including an awareness of the social and emotional development of children. Environmental factors affecting development, including cultural, ethnic, socioeconomic, individual, social contexts, and parent-child interaction. Preparation for Teacher Performance Assessment."
ETE 215,Strategies for Effective Teaching,3,,,ETE 115 or concurrent enrollment;  ETE 116 or concurrent enrollment; ETE 210 or concurrent enrollment,"An in-depth sequence of examining instructional planning and strategies, modes of teaching, and assessment of learning, including an awareness of exceptionality and diversity including an awareness of the social and emotional development of children. Other topics include instructional management, collaboration in curriculum design and delivery and with stakeholders, teacher leadership, decision making, and change processes. Preparation for Teacher Performance Assessment."
ETE 216,Effective Planning and Instruction for Teaching,3,,,ETE 115 or concurrent enrollment; ETE 116 or concurrent enrollment; ETE 210 or concurrent enrollment,"The study of key teaching frameworks with fundamental instructional strategies developed within the construct of planning lesson segments and units of study, including an awareness of exceptionality and diversity, an awareness of the social and emotional development of children. Application of brain research, methods to facilitate higher order, critical and creative thinking, problem solving, and decision-making. Other topics include instructional management, collaboration in curriculum design and delivery and with stakeholders, teacher leadership, decision-making, and the needs of 21st Century middle school students are addressed. Preparation for Teacher Performance Assessment."
ETE 219,Human Development and Effective Field Experience,1,,,"ETE 115 or concurrent enrollment; ETE 116 or concurrent enrollment; ETE 210 or concurrent enrollment; one of: Music Education Major, ETE 215, OR ETE 216, or concurrent enrollment in either ETE 215 or ETE 216","Engage in a minimum of twenty-five hours of directed observations in an appropriate, academic setting, where they teach a small group of students and collaborate with the classroom teacher to implement instructional and assessment plans for one student. Candidates are introduced to the language and dispositions of teaching, apply this knowledge in their reflections analyzing the learning environment, incorporate issues of equity and diversity including an awareness of the social and emotional development of children, and apply the knowledge in the creation on a developmental case study of one student. Weekly seminar."
ETE 222,Gifted Education in American Schools: Foundations and Future,3,,,"ETE 210; ETE 211; one of: ETE 215, ETE 216","Philosophy, concepts and testing procedures in gifted education. Students will investigate legal issues and programmatic evaluation for gifted education programs. Additionally, materials, curriculum design, and classroom methods will be introduced. The gifted learner's cognitive, socio-emotional, and talent development, including issues of equity and diversity, will be examined. Preparation for Teacher Performance Assessment."
ETE 223,Gifted Education: Strategies and Practicum,3,,,"ETE 210; one of: ETE 215, ETE 216; ETE 222 or concurrent enrollment","Field experience in gifted education grades K-12; 20 clock hours in Bradley University Gifted and Talented Summer Institute. In addition 16 hours of in-class instruction of materials and strategies unique to gifted learners will be required. Apply the knowledge of gifted education, including issues of equity and diversity."
ETE 227,Development of the Early Adolescent,3,,"WI,EL","ETE 115; ETE 116; ETE 210; major in an education program or consent of Associate Dean & Director of the Department of Education, Counseling, and Leadership","Required for the Illinois middle school endorsement, surveys the physical, cognitive, and social/emotional development of young adolescents from a cultural perspective, emphasizing implications for effective middle school instruction. Preparation for Teacher Performance Assessment."
ETE 228,Strategies for Middle School,3,,"WI,EL","ETE 115; ETE 116; ETE 210; one of: ETE 215, ETE 216; major in an education program or consent of Associate Dean & Director of the Department of Education, Counseling, and Leadership","Philosophy, concepts, and procedure related to organizational structure, curriculum, teaching strategies, and assessment in the middle school. Preparation for Teacher Performance Assessment."
