Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
ATG 101,Survey of Accounting,3,,,Not open to College of Business majors or minors,The course covers financial and managerial accounting topics that will assist non-business students in understanding financial statements and key accounting decision-making tools and techniques.
ATG 157,Accounting Principles - Financial,3,,,,"Accounting as a system of communicating to owners, creditors, governmental bodies, and others the financial results of the operation of business entities. Concepts, theories, and conventions underlying measurement, processing of business activities, and reporting of the financial results of those activities."
ATG 158,Accounting Principles - Cost Management,3,,,ATG 157,"An introduction to cost and management accounting concepts, practices and techniques needed to assist in decision making for typical business problems relating to planning, operating, and control.  Key topics include: cost behavior, cost-volume-profit analysis, contribution margin analysis, relevant costs, standard and job costing concepts, fundamentals of budgeting, and related variance analysis."
ATG 201,Accounting Principles-Accounting Techniques,1,,,ATG 158 or consent of the department chairperson,Procedures and systems of modern accounting through case studies.
ATG 226,Introduction to Fraud Examination,1,,,ATG 157 or consent of the department chairperson,"Introduction to fraud covering the nature of fraud, who commits fraud and why, and basic fraud prevention and detection techniques."
ATG 268,Business Ethics,3,,WI,BUS 100 or equivalent,Investigate the basic ethical frameworks from which business decisions can be made. Application of the frameworks to practical problems which arise in normal business activities.
ATG 290,Accounting Careers Exploration,1,,,ATG 158,The purpose of the course is to develop student awareness of career opportunities in the accounting profession.  The course develops a comprehensive framework through exposure to talented accounting professionals and experienced fellow students.  The course enables students to explore and better understand career opportunities that may be pursued through an internship and full-time employment; gain perspective on career opportunities for long-term planning purposes; improve their professionalism.
ATG 301,Intermediate Accounting I,3,,,"ATG 201 or consent of instructor; 42 credit hours completed; 2.50 GPA in ATG 157, 158 & 201","Theory and practice of accounting, emphasizing need for and use of accounting information in measuring and evaluating entity's business income and financial status."
ATG 302,Intermediate Accounting II,3,,,ATG 301,"Theory and practice of accounting, emphasizing need for and use of accounting information in measuring and evaluating entity's business income and financial status."
ATG 314,Cost Accounting,3,,,ATG 201; MIS 173 or equivalent,"Use of accounting data to: identify cost/managerial accounting concepts; explain cost functions, cost classifications, relevant costs, cost-volume profit analysis, and cost allocations.  The use of accounting data for cost control, profit planning, operational and capital budgeting, performance evaluation, and managerial decision making."
ATG 383,Accounting Systems and Control,3,,,ATG 314,Basic concepts and problems in the consideration of accounting as an information system.  Theoretical and pragmatic tools for analysis of accounting systems.  Internal control and exposure to concepts of internal auditing.
ATG 401,Advanced Accounting I,3,,,ATG 302,"In-depth study of selected topics in financial accounting and reporting, including business combinations and consolidated financial statements; foreign currency transactions and consolidation of foreign affiliates; fund accounting principles applied to state and local governmental units and not-for-profit organizations; a survey of SEC reporting requirements; and selected FASB standards."
ATG 414,Advanced Managerial Accounting,3,,,"ATG 301, ATG 383","Specialized topics in strategic cost management. Emphasis on the role of accounting information in strategy development and implementation. Includes topics such as value chain analysis, target costing, activity-based management, theory of constraints, environmental costing, and strategic performance evaluation. Cross-listed with ATG 514."
ATG 426,Fraud Examination,3,,,"ATG 301, ATG 383",Techniques for identification and detection of asset misappropriation schemes and fraudulent financial statements. Controls to prevent and detect problems. Cross-listed with ATG 526.
ATG 430,Professional Interviewing Skills,3,,EL,"ATG 301, ATG 383","Planning and implementation of fact-to-face encounters in order to achieve business objectives. Information interviews, interrogations, and other interviews used in business. Listening skills and analysis of non-verbal communication. Cross-listed with ATG 530."
ATG 447,Internal Auditing,3,,,"ATG 301, ATG 383","Internal audit activity's role in governance, risk, and control. Professional practices framework. Establishing a risk-based plan, conducting the internal audit engagement, reporting results, monitoring engagement outcomes. Cross-listed with ATG 547."
ATG 448,Computer Assisted Audit Techniques,3,,,"ATG 301, ATG 383",Design and implementation of data extraction and analysis techniques to achieve audit objectives. Course includes hands-on use of generalized audit software. Cross-listed with ATG 548.
ATG 457,Auditing,3,,,ATG 383,"Principles and procedures of external auditing. Auditing standards, ethics of the profession, risk assessment, internal control evaluation and testing, substantive testing, reporting. A simulated audit experience case performed by student teams."
ATG 461,International Accounting Issues,3,,EL,,"Significant accounting matters experienced by multi-national companies. Accounting matters include currency transactions and translations, transfer pricing, management planning and control, and taxation. Cross-listed with ATG 561."
ATG 470,Data Analytics for Accounting,2,,,"ATG301, ATG314 Corequisite: ATG 457 or consent of department chair","This course will provide students with an understanding of data analytics terminology as well as hands-on experience with data analytics tools and techniques. Data analytics in accounting explores how data can be used to interpret and predict financial performance.  Students should leave this course with the skills necessary to use data to translate accounting and business problems to management for enhanced decision making.  While there will be use of software tools in this course, the focus is on business and accounting concepts, not algorithms or statistical math."
ATG 477,Federal Taxes I,3,,,ATG 302; or permission of instructor,"Principles of federal income taxation, based upon the Internal Revenue Code. Measurement and reporting of taxable income of tax entities, including corporations, partnerships, and individuals."
