Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
ART 101,Drawing I,3,,,,"Fundamental concepts and techniques in drawing, using a variety of media and tools. Develop skills based on drawing from observation and invention."
ART 102,Drawing II,3,,,ART 101 or consent of Art Department chair,Second part of a year-long course on developing fundamental concepts and techniques in drawing using a variety of media and tools. Developing objective and subjective use of imagery. Introduction to the human figure.
ART 105,Two-Dimensional Design,3,,,,A studio course exploring the fundamentals of the formal systems and basic elements of visual organization through two-dimensional design principles and theories using a variety of media.
ART 106,Three-Dimensional Design,3,,,ART 105 or consent of Art Department chair,A studio course exploring the fundamentals of the formal systems and basic elements of visual organization through three-dimensional design principles and theories using a variety of media.
ART 107,Introduction to Studio Art,3,FA,FA,Open for non-Art majors only,"Two- and three-dimensional visual arts including drawing, painting, photography, printmaking, and sculpture. Designed to enhance the student's understanding of art mediums and their cultural significance."
ART 109,Photographic Appreciation (Online),3,,FA,Open for non-Art majors only,"Fundamentals of photographic processes, the history of the medium, as well as basic image manipulation and critique methods.  An emphasis on the development of visual literacy skills necessary for analyzing and critiquing our image-saturated culture."
ART 131,Art Appreciation,3,FA,"FA,WI",Non-art major,"Visual art: its significance today and in history. Designed to enhance the student's understanding and enjoyment of painting, sculpture, and architecture."
ART 140,Survey of Art History I,3,,,,"Western and non-Western art from 4000 B.C. to 1400 A.D.: Ancient, Classic, and Medieval."
ART 142,Survey of Art History II,3,,,,"Western art from 1400 A.D. to present: Renaissance, Baroque and Rococo, 19th and 20th century art."
ART 201,Introduction to Ceramics,3,,,,"An introduction to the fabrication of ceramic objects and the mechanical functions of the ceramic studio including clay mixing, hand building, throwing, glazing and kiln firing with a focus on stoneware."
ART 202,High & Low Fire Ceramics,3,,,,"Technical and design concepts for the forming, glazing, and firing of ceramics with a focus on the aesthetic development of high and low fire ceramics."
ART 203,Drawing Studio I,3,,,"Art 101, 102, 105, 106,  140, 142, or consent of Art Department chair","Visual perception and analysis through drawing in development of direct observation with various subject areas of interest, i.e., still-life, landscape, human figure, non-objective, and abstraction. Traditional drawing media, methods of instrumentation, exploration of composition, and conceptual strategies are included."
ART 204,Drawing Studio II,3,,,"Art 101, 102, 105, 106, 140, 142, 203, or consent of Art Department chair","Visual perception and analysis through drawing in variety of techniques involving line, area, and ground. Figure, still-life, and landscape drawing from direct observation and from imagination."
ART 205,Typographic Design,3,,,Art 105 or consent of Art Department chair,The study of typographic communication and the principles of design composition through hand-rendered and digital forms
ART 206,Graphic Design Methods and Processes,3,,,"ART 205, IM 113, or consent of Art Department Chair","Exploration of the creative thought process, leading to innovative and original solutions to visual communication problems. Concepts are developed using a variety of media ranging from hand-rendering to digital production. Emphasis is placed on creative thinking and professional presentation through all stages."
ART 209,Beginning Painting I,3,,,"Art 101, 102, 105, 106, 140, 142 or consent of Art Department chair","Basic painting techniques with traditional and non-traditional media, i.e., oil, acrylic, collage, and mixed media with emphasis on studio problems in composition, representation, design, color and concept."
ART 210,Beginning Painting II,3,,,ART 209 or consent of Art Department chair,"Development of techniques in traditional and non-traditional painting media. Exploration and experimentation using painting problems in still life, the human figure, abstraction, landscape, and non-objective composition. Emphasis on critical analysis and aesthetic awareness."
ART 211,Relief Printmaking,3,,,"Art 101, 102, 105, 106, 140, 142, or consent of Art Department chair","Relief printing from wood and linoleum blocks. Basic cutting and printing techniques, including black and white, color reduction and multi-block color editioning. Students provide paper, wood, linoleum, brayers, and cutting tools."
ART 212,Intaglio Printmaking,3,,,ART 211 or consent of Art Department chair,"Etching and engraving on zinc and copper plates for printings in the intaglio method. Introduction to methods including drypoint, line etch, aquatint, and softground techniques. Black and white printing with a multi-plate, color edition as final project. Students provide paper, metal plates, burnishers, scrapers, burins, and drawing needles."
ART 213,Beginning Sculpture I,3,,,"Art 101, 102, 105, 106, 140, 142, or consent of Art Department chair","Introduction to sculpture including 3-d design principles, aesthetics, and basic techniques of additive and reductive manipulation of materials. Processes include carving and welding, cutting and joining and various materials-steel, stone, and/or wood."
ART 214,Beginning Sculpture II,3,,,"Art 101, 102, 105, 106, 140, and 142; or consent of Art Department chair","Introduction to sculpture including 3-d design principles, aesthetics, and basic techniques of casting including pattern making, modeling in wax, clay, and transfer of the image to bronze and aluminum. Processes will involve cope and drag casting, transfer mold making and investment mold making, pouring molten non-ferrous metals, and finishing cast metal works through chasing and other surface cleanup, patination and sealing."
ART 220,Professional Lecture Series/Studio Visits I,0.5,,,"Art 101, 102, 105, 106, 140, 142, or consent of Art Department chair","Visiting lectures with studio discussions, seminars, and demonstrations from professionals with national and international reputations in the fine and applied arts, art history, criticism, and philosophy. May be repeated to a maximum of 1 semester hour."
ART 221,Professional Lecture Series/Studio Visits II,0.5,,,"Art 101, 102, 105, 106, 140, 142, or consent of Art Department chair","Visiting lectures with studio discussions, seminars, and demonstrations from professionals with national and international reputations in the fine and applied arts, art history, criticism, and philosophy. May be repeated to a maximum of 1 semester hour."
ART 225,Basic Black and White Photography,3,,,,"Camera types, controls, and exposures; selection of sensitized materials; camera handling. Darkroom techniques: processing, proofing, adjusting, printing, presentation of work. Students supply film, paper, and a manually adjustable single lens reflex (SLR) camera."
