Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
BUS 100,Contemporary Business,3,,,Freshmen/sophomore standing only or consent of the Foster College of Business Dean's office,"Business in a changing society. Ethics and social responsibility, financing, production, and distribution of goods and services."
BUS 220,Career Planning Strategies,1,,,Business major,Prepares students for internship positions and employment after graduation; research career opportunities in business; and develops a systematic approach to employment planning. Pass/fail. Credit will not be given for both BUS 220 and ELH 301.
BUS 301,Cooperative Education/Internship in Business,0-6,,EL,Sophomore in Foster College of Business; 2.0 grade point average at Bradley; 2.0 grade point in Foster College of Business; and consent of Foster College career advisor,Cooperative education or internship experience. Credit applies to non-departmental Foster College of Business electives. Pass/Fail. Repeatable to a combined total of six credit hours for BUS 301.
BUS 302,Junior Business Practicum,0-3,,,Junior/senior standing; approval by the FCB Associate Dean,"Solving technically challenging problems under faculty supervision, with a near-term economic benefit. May involve research in collaboration with FCB faculty, for up to three hours credit. Repeatable to a combined total of three credit hours. Not eligible for cooperative education/internship credit. Elective credit toward major will only be granted with prior approval of a FCB department chair or program director."
BUS 361,Collaboration in Organizations,3,,MI,Junior standing,"Designed to provide students some of the knowledge and skills required to adapt to a formal team setting, where collaboration among cross-functional members occurs. Students will study leadership skills and traits, sensemaking and inventing techniques, group effectiveness tactics, and team building methods as applied within the context of product development."
BUS 362,Innovation in Organizations,3,,MI,BUS 361 or consent of instructor,"Designed to provide students with knowledge related to developing a product or product enhancement based on the assessment of competitive environments and the strategic needs of the organization. Students will study methods for assessing customer needs, evaluating competitive environments, project planning, feasibility analysis, as well as product and process planning. The course will duly focus on the application of collaboration processes, applying methods of effective team interactions using peer feedback, accountability, and leadership skills."
BUS 400,Senior Consulting Project,2,,"EL,MI,WI",FIN 322; M L 350; MTG 315; senior standing Corequisite: M L 452,"Participation in a Senior Consulting Project, where students form cross-functional teams and apply knowledge to address the organizational needs of local business owners and organizational executives. Concurrent enrollment with M L 452 required."
BUS 401,Senior Consulting Project II,3,,,BUS 400; senior standing,"Participation in a Senior Consulting Project, where students form cross-functional teams and apply knowledge to address organizational needs."
BUS 490,Business Topics,0-9,,,Approval of the Foster College of Business Associate Dean,Topics of special interest which may vary each time course is offered. Topic and course requirements stated in current Schedule of Classes. May be repeated under different topics for a maximum of nine hours credit. May count towards a Foster College of Business degree requirement upon approval of the department chair.
BUS 511,Communicating Quantitative Information,1,,,MIS 570,Present quantitative information and explain it to a nontechnical audience in nontechnical language. Selection of appropriate formats for graphic and tabular displays of information.
