Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
BMS 150,Introduction to Biomedical Science,2,,,BMS major or consent of chair,"Introduces Biomedical Science majors to critical concepts in biomedical science fields focusing first on broad science topics such as hypothesis testing, library research, and ethics in science. The course then explores important topic areas in biomedical sciences including the definition and history of medicine, function of research in protecting human health and curing disease, and role of biotechnology."
BMS 320,Environment and Human Health,3,,,"C or better in BIO 151 and BIO 251; BMS, BIO or ENS major; or consent of instructor","Introduces Biomedical Science majors to critical concepts in ecology and evolutionary biology.  The health of any organism is impacted by its biotic and abiotic environment.  The course will focus on investigating the environmental controls on human health and development, how environment controls virulence and spread of disease, and how health and agents of disease are impacted by evolution."
BMS 465,Medical Physiology,3,,,C or better in BIO 250; or consent of instructor,"Introduces students to critical clinical concepts in human medical physiology.  The course is not designed as a survey course of the eleven organ systems in the human body. Rather, the focus is on complete coverage and student understanding of a few specific systems, including cardiovascular, respiratory, renal, and muscular systems. The focus will be on understanding the physiology of the systems and how system dysfunction leads to disease states.  Treatment options for various pathological conditions will be discussed."
BMS 466,Human Anatomy,4,,,B or better in BMS 465 or B or better in BIO 310; or consent of instructor,"Introduces students to cadaveric dissection and the study of the human musculoskeletal, nervous, and cardiovascular systems, with additional coverage of the other abdominal and thoracic systems. The focus of the course will be on application of anatomical knowledge to normal physiologic function and disease processes."
BMS 490,Biomedical Science Capstone,1,,,Senior standing (junior standing with consent of chair),Students will apply the skills and knowledge developed in the Biomedical Science major to complete collaborative projects with guidance from a team of faculty. Required for all Biomedical Science majors.
BIO 101,Diseases of Life,3,FS,NS,,"Explores the science behind disease including the underlying biology, impact on students daily lives, and accuracy of media coverage."
BIO 103,The Biology of Sex,3,,NS,,"Introduces the concept of sex as it relates to reproduction, gender, and evolution.  Focus will include impact on students' daily lives, and accuracy of media coverage."
BIO 111,Introduction to Cell Biology,3,,,"Education majors and allied health majors such as nursing, health science and dietetics.  Biology minors can also enroll in this course with an approved Course Reserve Form",Introduces the concept of biological molecules and discusses the role of these molecules in the genetics and cell biology of the organism.
BIO 112,Introduction to Ecology and Evolution,3,,,,Basic principles of evolutionary and ecological processes.
BIO 113,Introduction to Cell Biology Laboratory,1,,,"Allied health majors such as nursing, health science and dietetics. Biology minors can also enroll in this course with an approved Course Reserve Form",Emphasizes the concept of biological molecules and discusses the role of these molecules in the genetics and cell biology of the organism though inquiry based laboratory exercises.
