Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
CHM 100,Fundamentals of General Chemistry,3,FS,NS,"Education majors, Engineering Technology majors, and allied health majors such as Nursing and Dietetics","Introduction to fundamental chemical concepts, including measurements; basic inorganic nomenclature; atomic structure; nuclear chemistry; periodic properties; molecular structure and bonding; basic thermochemistry; types of reactions; stoichiometry; properties of gases, liquids, solids, and solutions; equilibria; acids and bases. May not be counted for credit in programs offered within the Department of Chemistry and Biochemistry; not open to students with credit in CHM 110."
CHM 102,Chemistry and Civilization,3,TS,NS,,A course for non-science majors that broadly surveys chemistry and its effects on civilization. May not be counted for credit in programs offered within the Department of Chemistry and Biochemistry.
CHM 104,Essentials of General Chemistry,3,,NS,The mathematics placement exam score is sufficient for placement into MTH 109 . Corequisite: MTH 109,"This course is designed to prepare students for CHM 110 or to be utilized as a Bradley Core Curriculum course. Topics include: mathematical concepts used in General Chemistry; atomic structure; periodic properties; inorganic nomenclature; chemical reactions; stoichiometry; chemical bonding; basic thermochemistry; properties of solutions; acids and bases, chemical kinetics and equilibrium. May not be counted for credit in programs offered within the Department of Chemistry and Biochemistry; not open to students with credit in CHM 110."
CHM 110,General Chemistry I,3,FS,NS,The mathematics placement exam score is sufficient for placement into MTH 115; high school chemistry or C or better in CHM 100 or CHM 104,"Course designed to provide chemical concepts for students majoring in the physical or biological sciences, engineering, or related disciplines. Topics include: measurements; basic inorganic nomenclature; atomic structure; stoichiometry; types of reactions; thermochemistry; periodic properties; molecular structure and bonding; properties of gases, liquids, solids, and solutions; acids and bases."
CHM 112,Engineering Chemistry,3,FS,NS,C or better in CHM 110,Continuation of CHM 110. For students majoring in engineering and related disciplines. Topics include: thermodynamics; equilibria; electrochemistry and corrosion; descriptive chemistry of metals and nonmetals; properties of metallic and silicon-based materials; organic and polymer chemistry; nuclear chemistry; environmental chemistry.
CHM 116,General Chemistry II,3,,,C or better in CHM 110,Continuation of CHM 110. For students majoring in the physical or biological sciences and related disciplines. Topics include: acid-base equilibria; thermodynamics; electrochemistry; kinetics; nuclear chemistry; environmental chemistry.
CHM 162,Fundamentals of Organic and Biochemistry,4,FS,,"C or better in CHM 100, CHM 104, or CHM 110","Structure and reactivity of organic compounds as related to biochemistry.  Structure, function, and metabolism of carbohydrates, lipids, and proteins. May not be counted for credit in programs offered within the Department of Chemistry and Biochemistry.  Not open to students with credit in CHM 150 and CHM 160 or with credit in CHM 360."
CHM 250,Concepts in Organic Chemistry,3,,,CHM 116,"A one-semester in-depth coverage of conformational analysis, stereochemistry, reaction mechanisms, and spectroscopy for students considering careers in health-related professions. Students may not receive credit for both CHM 250 and CHM 252."
CHM 252,Organic Chemistry I,4,,,C or better in CHM 116 and CHM 117,"Systematic treatment of the structure, preparation, and properties of organic compounds, including the fundamental principles of stereochemistry, reaction mechanisms, and spectroscopic methods of analysis."
CHM 256,Organic Chemistry II,3,,,C or better in CHM 252,Continuation of CHM 252.
