Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
C E 150,Mechanics I,3,,,MTH 121 or MTH 115 or MTH 119,"Analysis of two- and three-dimensional force systems by vector algebra. Applications of principles of equilibrium to particles, rigid bodies, and simple structures. Friction, distributed forces, center of gravity, centroids, moments of inertia. U.S. and SI systems of units and applications."
C E 200,Engineering Co-Op,0,,,"sophomore standing in the College of Engineering and Technology, 2.0 overall grade point average at Bradley, approval of engineering and technology Co-op coordinator and Co-op faculty advisor",Full-time cooperative education assignment for civil engineering students who alternate periods of full-time school with periods of full-time academic or career-related work in industry. Satisfactory/Unsatisfactory.
C E 206,Surveying,2,,,,"Theory and applications of measurements of horizontal distances, differences in elevations, horizontal angles, vertical angles, bearings, azimuths, and areas and volumes. Simple horizontal and vertical curves, topographic surveys and mapping. Public land surveying system. Introduction to GPS technology."
C E 210,Numerical Methods in Civil Engineering,3,,,MTH 223,"State-of-the-art algorithms used in solving complex engineering problems. Mathematical models involving ordinary and partial differential equations. Initial value, boundary value, and transient problems in civil engineering."
C E 224,CADD,3,,,CON 132,Examinations of graphical capabilities of current computer-aided design and drafting (CADD) systems.  Theoretical and hands-on applications of the most widely used CADD systems available for Civil Engineering and Construction students.
C E 250,Mechanics II,3,,,CE 150,"Kinematics and kinetics of particles and rigid bodies using vector analysis. Kinetics includes principles of force-mass-acceleration, work-energy, and impulse-momentum."
C E 260,Fluid Mechanics,3,,,CE 250,"Fluid properties and fluid motion: basic laws of motion in integral form; applications of basic laws in solving fluid flow problems. Hydrostatics, dimensional analysis, similitude, and incompressible viscous flow (both laminar and turbulent) in conduits. Introduction to open channel flow; culverts, sewers, and streams. Laboratory experiments."
C E 270,Mechanics of Materials,3,,,CE 150,"Internal forces; stress, strain, and their relations; stresses and deformations in axial and torsional loading; indeterminate problems; stresses and deformations in flexural members; transformation of stresses; introduction to member design; column buckling analysis."
C E 310,"Probability, Statistics and Decision Making in Civil Engineering",3,,,MTH 122,Basic probabilistic and statistical decision making principles used in civil engineering design and practice. Probabilistics models and decision theory.
C E 350,Geotechnical Engineering,4,,,"CE 260, CE 270","Physical properties of soils, soil profiles, and deposits.  Soil strength determination.  Flow of water through soil masses.  Laboratory experiments."
C E 356,Pavement Design,4,,,CE 350,"Pavement engineering and design. Selection testing, and use of highway pavement construction materials in relation to function, environment, and cost. Structural properties of asphalt (flexible) and concrete (rigid) pavements; laboratory experiments."
C E 359,Structural Analysis,4,,,CE 270,"Analysis of statically determinate structures including influence lines. Deflections by area-moment, conjugate beam, and Castigliano's theorem. Analysis of statically indeterminate structures including influence lines. Classical solutions by consistent displacements, three-moment theorem, moment distribution, and slope deflection methods. Matrix methods for structural analysis by stiffness approach."
C E 360,Introduction to Environmental Engineering,4,,,CHM 110 and CHM 111,Analysis techniques and design procedures for unit operations and unit processes for water and waste water treatment. Techniques for the examination of water and waste water quality. Laboratory experiments.
C E 365,Reinforced Concrete Design,4,,,CE 359,"Theory and design of reinforced concrete structures: beams, columns, slabs, walls, and buildings.  Current ACI Code provisions for elastic and ultimate design.  Laboratory experiments."
