Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
CIS 102,Introduction to Computer Information Systems With Basic,3,,,,Fundamental concepts of computer programming and design of algorithms. Problem solving using BASIC. Introduction to flow chart language and use of software packages. Functional limitations and capacities of computers.
CIS 203,Data Processing With Cobol,3,,,Previous high school or college programming courses,Solution of data processing problems using COBOL. Introduction to file handling and use of computers in a business environment.
CIS 210,Applications of Data Structures & Algorithms,3,,,grade of C or better in both CS 102 and CS 140 or equivalents; MTH 120 or equivalent,"Builds on previous CS 101, CS 102, and CS 140 courses in programming and focuses on applications of data structures, graphs and trees, algorithms, proof techniques, problem solving strategies, and file structures in programming, software development, and computer information systems."
CIS 215,Introduction to Scripting Languages,3,,,CS 101,"A non-technical introduction to the use of scripting languages in a web-based environment. An overview of current scripting languages such as Javascript, VBScript, and PERL."
CIS 230,Introduction to Computer Forensics,3,,,previous computer class or consent of instructor,"Provides an overview of computer forensics, investigation techniques, and relevant laws. Covers computer operating system architectures and disk structures and their relevance to computer forensics. Cross listed as CRM 230."
CIS 275,Business Applications With Visual Basic,3,,,"CIS 102, BMA 272, or consent of instructor","Object-oriented business application development using Visual Basic. Emphasis on object classes, events and properties, data structures, controls, and objects. Dual listed as MIS 275."
CIS 300,Computers and Society,3,TS,GP GS,Junior standing or consent of instructor,"History of computers; their use, limitations, and impact on society; Internet and the World Wide Web; creation of Web content."
CIS 330,Advanced Computer Forensics,3,,,CIS 230 or CRM 230,Provides students an extensive look at computer forensics and formal techniques used in computer forensics in a lab environment. Formal techniques for conducting a computer forensics investigation including record-keeping are covered. Students will conduct computer forensic exams and participate in practical computer forensic examination exercises. Cross listed as CRM 330.
CIS 377,Advanced Cobol Systems and Environments,3,,,CIS 203,"Design and implementation of production-oriented COBOL system projects. Environments for development and implementation of COBOL systems in both batch and interactive modes. JCL for resource management, file processing, and multi-key file processing. Comparison and portability issues in different COBOL system environments."
CIS 393,Web Technologies & Systems,3,,,CIS 210 or CS 210 or equivalent; or consent of instructor. CS 220 is strongly recommended,"Introduction to Web technologies and systems. Emphasis on design, development, testing, implementation, and applications of Web-based systems and technologies including related software, data exchange protocols, interfaces, and tools."
CIS 415,Applied Cryptography,3,,,CS 210 or CIS 210 or equivalent; or consent of instructor,"Various concepts, algorithms, and systems in the area of applied cryptography. Topics include but are not limited to overview of classical cryptography, various types of cryptographic algorithms and systems, block ciphers, advanced encryption standards, key management, digital certificates, design and development of cryptographic applications. Cross-listed with CIS 515."
CIS 430,Information Technology Infrastructure,3,,,CS 220 or equivalent; or consent of instructor. CIS 393 is strongly recommended,"Enterprise information technology infrastructure including networking and telecommunications fundamentals, concepts, models, architectures, protocols, standards, communications, configuration, implementation, management, deployment software, firmware, hardware, distributed systems, file services, and software/hardware/network security issues. Cross-listed with CIS 530."
CIS 433,Mobile and Wireless Networks,3,,,"CS 330 or CIS 430, or equivalents","Fundamental concepts and technologies in mobile and wireless networks, medium access control, wireless LAN, PAN, and WAN, infrastructure-based mobile networks, ad hoc routing protocols,  mobile transport layer, handoff in mobile and wireless networks, wireless  application protocols, wireless sensor networks. Cross listed with CIS 533. For cross listed undergraduate/graduate courses, the graduate level course will have additional academic requirements beyond those of the undergraduate course."
CIS 435,Computer Networks and System Security,3,,,CS 220 or equivalent; or consent of instructor,"Principles, concepts, and fundamentals of computer networks and systems; and information technology infrastructure security, computer network authentication, authorization, access control, confidentiality, and data integrity. Topics of computer network security policy and management, data encryptions, protection against internal and external attacks, security evaluation and management will also be covered. Cross listed with CIS 535."
CIS 445,Integrative Programming and Technology,3,,,CS 220 or equivalent; or consent of instructor. CIS 393 is strongly recommended,"Data mapping and exchange: metadata, XML, encoding schemes, data stream transformations, and data integration and exchange between computer systems. Integrative programming and technology: design patterns, interfaces, inheritance, reusability, and security practices. Computer information systems integration: architectures, socket programming, Web services, message and queuing services. Cross listed with CIS 545."
CIS 446,Advanced Mobile Programming,3,,,"CS 321 or CIS 445, or equivalents; or consent of instructor","Advanced programming concepts, languages and technology relevant to mobile software systems and mobile computing, including data structures, databases, file systems, objects, classes, I/O operations, SDKs, IDEs, services, networking and development of mobile software systems. Cross listed with CIS 546. For cross listed undergraduate/graduate courses, the graduate level course will have additional academic requirements beyond those of the undergraduate course."
CIS 451,Computer Game Design,3,,,"Junior standing; IM 113, IM 115, IM 285, and IM 260; or CS101, CS102, and CS140; or consent of instructor. ","Gameplay, storytelling, challenges, interface and information design, and world interaction. Construction of experiences, including rule design, play mechanics, game balancing, social game interaction, and the integration of interactive media. Playtesting and game design documentation. Cross listed with IM 451, CIS 551. For cross listed undergraduate/graduate courses, the graduate level course will have additional academic requirements beyond those of the undergraduate course."
CIS 452,Computer Game Modification,3,,,"junior standing, CS 101, CS 102, CS 140; or consent of instructor","Software development and programming aspects of computer games, game engine modification, and virtual reality simulations, including event loops, execution threads, collision detection, multi-threading, performance analysis, multi-user games and networking. Cross listed with CIS 552, IM 452."
CIS 453,Concepting and Storytelling for Game Design,3,,,"Junior standing, or IM 113 and IM 115 and IM 160 and IM 285 and IM 260, or consent of instructor. ","Process of narrative and interactive development. Students will work individually and in small groups learning how to write, pre-visualize, present, and produce their interactive experiences, narratives, and games. Cross listed with CIS 553. For cross listed undergraduate/graduate courses, the graduate level course will have additional academic requirements beyond those of the undergraduate course."
CIS 455,Computer Graphics,3,,,"junior standing, CS 101, CS 102, CS 140; or consent of instructor","Introduction to the theory and implementation of computer graphics with 2D and 3D applications in computer gaming, including 2D and 3D graphic primitives and objects, OpenGL, geometric transformations, image synthesis, rendering and lighting, and virtual environments. Cross listed with CIS 555, IM 455."
CIS 456,Game Engine Programming,3,,,"junior standing, CIS 452, CIS 455; or consent of instructor","Advanced techniques and technologies for programming computer game engines, multi-user games, virtual environments, and virtual reality simulations. Cross listed with CIS 556, IM 456."
CIS 457,Digital Animation,3,,,"junior standing, ART 105, ART 106, IM 285; or consent of instructor","A studio course exploring computer modeling and animation. Survey of the theory, history, and practice involved with creating quality modeling for print media, and also modeling and animation for time-based audio-visual media. Cross listed with CIS 557, IM 457."
CIS 458,Sound Design,3,,,"junior standing, IM 113, IM 285; or consent of instructor","Theoretical and practical sound design. Music composition, field sound recording, studio tracking, aesthetic analysis of music, electronic sound generation. Digital game technologies, 3D sound processing and generative audio structures. Mixing in non-linear environments and final mastering. Cross listed with CIS 558, IM 458."
CIS 459,Computer Game Capstone Project,3,,"MI,EL",Completion of all other coursework in game design minor or computer game technology minor; or completion of all other coursework in game design concentration or computer game technology concentration; or consent of instructor,"Game development, including advanced game design, software development, and game production concepts. Integration of audio, visual, storytelling, programming, and design. Project builds within multi-disciplinary teams. Cross listed with CIS 559, IM 459. For cross-listed undergraduate/graduate courses, the graduate-level course will have additional academic requirements beyond those of the undergraduate course."
CIS 473,Quality Management in Computing,3,,,"CIS 430 and CS 390, or equivalents; or consent of instructor","Quality management topics relevant to advanced computing and software/hardware systems, including functional and structural quality, quality factors, McCall's triangle of quality, ISO standards, software quality assurance and management, COCOMO models, DFS"
CIS 475,"Computer Information Systems Analysis, Design and Integration",3,,"EL,WI",CIS 210 or CS 210 or equivalent; or consent of instructor. CS 390 is recommended,"Computer information systems analysis, design and integration including enterprise computer information systems types and architecture models, sourcing, development methodologies and life cycle, requirements, analysis and design models, conceptual and logic data modeling, testing and quality assurance, validation and verification. Systems implementation, integration, deployment and maintenance, metrics and economics. Cross listed with CIS 575 course."
CIS 476,Data Management,3,,,CS 210 or CS 360 or equivalent,"A study of techniques and processes to help organize, access, protect, and analyze data. Describe data collection, storage, and retrieval methods. Explain data integration and interoperability, including data transfer and exchange standards. Understand why it is important to define policies and procedures for data governance, quality, standards, security, and privacy. Describe different strategies for data analysis. Topics include data warehousing, database registries, data mining, NoSQL, and other Data Science techniques.  Cross-listed with CIS 576."
CIS 481,Professional Practicum in Computer Information Systems,0-3,,,CIS or CS junior or senior student in good standing; consent of department chair,"Special projects under staff supervision on professional practicum in computer information systems, with near-term economic benefit. Repeatable to a maximum of 3 credit hours."
CIS 491,Computer Information System Project Management,3,,"EL,WI",CS 390 or equivalent; or consent of instructor,"Methods of PMBOK-based management of computer information software systems design and development projects, including systems view, main project management process groups and knowledge areas, management plans, project metrics and estimates, tools for project management, project reports and documentation. Cross listed with CS 591 and CIS 591 courses."
CIS 495,Software and Web Applications Security,3,,,CS 390 or equivalent; or consent of instructor,"Concepts, models, methods, technologies, and tools used to design, develop, test, implement, and maintain secure software and Web applications. Threats posed to software and Web applications, software security concepts and protection mechanisms, trust and threat model, authentication and authorization, software risks assessment and management models, security management models for software and Web applications, secure programming and software development styles, tools to develop secure software and Web applications. Cross listed with CIS 595."
CIS 497,Topics in Computer Information Systems,3-6,,,consent of instructor,Topics of special interest in computer information systems area which may vary each time course is offered. Repeatable under a different topic for a maximum of six semester hours.
CIS 498,Directed Individual Studies in Computer Information Systems,1-3,,,Consent of instructor,Individual study or research/development project under supervision of a CS/IS faculty member. May be repeated under a different topic once. Repeatable to a maximum of six semester hours.
CIS 515,Applied Cryptography,3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or CS 210 or equivalent, or consent of instructor","Various concepts, algorithms, and systems in the area of applied cryptography. Topics include but are not limited to overview of classical cryptography, various types of cryptographic algorithms and systems, block ciphers, advanced encryption standards, key management, digital certificates, design and development of cryptographic computer and software applications. Cross listed with CIS 415. For cross listed undergraduate/graduate courses, the graduate level course will have additional academic requirements beyond those of the undergraduate course."
CIS 530,Information Technology Infrastructure,3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or CS 220 or equivalent, or consent of instructor. CIS 393 is strongly recommended","Enterprise information technology infrastructure including networking and telecommunications fundamentals, concepts, models, architectures, protocols, standards, communications, configuration, implementation, management, deployment software, firmware, hardware, distributed systems, file services, and software/hardware/network security issues. Cross listed with CIS 430. For cross-listed undergraduate/graduate courses, the graduate-level course will have additional academic requirements beyond those of the undergraduate course."
CIS 533,Mobile and Wireless Networks,3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or CS 330 or CIS 530 or equivalents","Fundamental concepts and technologies in mobile and wireless networks, medium access control, wireless LAN, PAN, and WAN, infrastructure-based mobile networks, ad hoc routing protocols,  mobile transport layer, handoff in mobile and wireless networks, wireless  application protocols, wireless sensor networks. Cross listed with CIS 433. For cross listed undergraduate/graduate courses, the graduate level course will have additional academic requirements beyond those of the undergraduate course."
CIS 535,Computer Networks and System Security,3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or CS 220 or equivalent, or consent of instructor","Principles, concepts, and fundamentals of computer networks and systems; and information technology infrastructure security, computer network authentication, authorization, access control, confidentiality, and data integrity. Topics of computer network security policy and management, data encryptions, protection against internal and external attacks, security evaluation and management will also be covered. Cross listed with CIS 435. For cross listed undergraduate/graduate courses, the graduate level course will have additional academic requirements beyond those of the undergraduate course."
CIS 545,Integrative Programming and Technology,3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or CS 220 or equivalent, or consent of instructor. CIS 393 or equivalent is strongly recommended","Data mapping and exchange: metadata, XML, encoding schemes, data stream transformations, data integration and exchange between computer systems. Integrative programming and technology: design patterns, interfaces, inheritance, reusability, and security practices. Computer information systems integration: architectures, socket programming, Web services, and message and queuing services. Cross listed with CIS 445. For cross listed undergraduate/graduate courses, the graduate-level course will have additional academic requirements beyond those of the undergraduate course."
CIS 546,Advanced Mobile Programming,3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or CS 321 or CIS 545 or equivalents, or consent of instructor","Advanced programming concepts, languages and technology relevant to mobile software systems and mobile computing, including data structures, databases, file systems, objects, classes, I/O operations, SDKs, IDEs, services, networking and development of mobile software systems. Cross listed with CIS 446. For cross listed undergraduate/graduate courses, the graduate level course will have additional academic requirements beyond those of the undergraduate course."
CIS 551,Computer Game Design,3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or I M 113 and I M 115 and I M 285 and I M 260, or CS 101 and CS 102 and CS 140, or consent of instructor","Gameplay, storytelling, challenges, interface and information design, and world interaction. Construction of experiences, including rule design, play mechanics, game balancing, social game interaction, and the integration of interactive media. Playtesting and game design documentation. Cross listed with CIS 451, IM 451. For cross-listed undergraduate/graduate courses, the graduate-level course will have additional academic requirements beyond those of the undergraduate course."
CIS 552,Computer Game Modification,3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or CS 101 and CS 102 and CS 140, or consent of instructor","Software development and programming aspects of computer games, game engine modification, and virtual reality simulations, including event loops, execution threads, collision detection, multi-threading, performance analysis, multi-user games and networking. Cross listed with CIS 452, IM 452. For cross-listed undergraduate/graduate courses, the graduate-level course will have additional academic requirements beyond those of the undergraduate course."
CIS 553,Concepting and Storytelling,3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or I M 113 and I M 115 and I M 160 and I M 285 and I M 260, or consent of instructor","Process of narrative and interactive development. Students will work individually and in small groups learning how to write, pre-visualize, present, and produce their interactive experiences, narratives, and games. Cross listed with CIS 453. For cross-listed undergraduate/graduate courses, the graduate-level course will have additional academic requirements beyond those of the undergraduate course."
CIS 555,Computer Graphics,3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or CS 101 and CS 102 and CS 140, or consent of instructor","Introduction to the theory and implementation of computer graphics with 2D and 3D applications in Computer Gaming, including 2D and 3D graphic primitives and objects, OpenGL, geometric transformations, image synthesis, rendering and lighting, and virtual environments.  Cross listed with CIS 455, IM 455. For cross-listed undergraduate/graduate courses, the graduate-level course will have additional academic requirements beyond those of the undergraduate course."
CIS 556,Game Engine Programming,3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or CIS 452 and CIS 455 or equivalents, or consent of instructor","Advanced techniques and technologies for programming computer game engines, multi-user games, virtual environments, and virtual reality simulations. Cross listed with CIS 456, IM 456. For cross-listed undergraduate/graduate courses, the graduate-level course will have additional academic requirements beyond those of the undergraduate course."
CIS 557,Digital Animation,3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or ART 105 and ART 106 and IM 285, or consent of instructor","A studio course exploring computer modeling and animation. Survey of the theory, history, and practice involved with creating quality modeling for print media, and also modeling and animation for time-based audio-visual media. Cross listed with CIS 457, IM 457. For cross-listed undergraduate/graduate courses, the graduate-level course will have additional academic requirements beyond those of the undergraduate course."
CIS 558,Sounds Design,3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or IM 113 and IM 285, or consent of instructor","Theoretical and practical sound design. Music composition, field sound recording, studio tracking, aesthetic analysis of music, electronic sound generation. Digital game technologies, 3D sound processing and generative audio structures. Mixing in non-linear environments and final mastering. Cross listed with CIS 458, IM 458. For cross-listed undergraduate/graduate courses, the graduate-level course will have additional academic requirements beyond those of the undergraduate course."
CIS 559,Computer Game Capstone Project,3,,,"Graduate standing in CS or CIS, or consent of instructor, or senior standing in CS or CIS and completion of all other coursework in game design minor or computer game technology minor, or senior standing in CS or CIS and completion of all other coursework in game design concentration or computer game technology concentration","Theoretical and practical sound design. Music composition, field sound recording, studio tracking, aesthetic analysis of music, electronic sound generation. Digital game technologies, 3D sound processing and generative audio structures. Mixing in non-linear environments and final mastering. Cross listed with CIS 458, IM 458. For cross-listed undergraduate/graduate courses, the graduate-level course will have additional academic requirements beyond those of the undergraduate course."
CIS 572,"Computing Management: Systems, Technology, Services",3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or CS 310 or equivalent",Management of resources for computing; management of computer and information systems and technologies; planning for and management of computing services; operational considerations.
CIS 573,Quality Management in Computing,3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or CIS 430 and CS 390 or equivalents, or consent of instructor","Quality management topics relevant to advanced computing and software/hardware systems, including functional and structural quality, quality factors, McCall's triangle of quality, ISO standards, software quality assurance and management, COCOMO models, DFSS, CMMI, quality measurements and metrics.  Cross listed with CIS 473. For cross listed undergraduate/graduate courses, the graduate level course will have additional academic requirements beyond those of the undergraduate course."
CIS 575,"Computer Information Systems Analysis, Design and Integration",3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or CS 210 or CIS 210 or equivalent, or consent of instructor. CS 390 is recommended","Computer information systems analysis, design and integration including enterprise computer  information systems types and architecture models, sourcing, development methodologies and life cycle, requirements, analysis and design models, conceptual and logic data modeling, testing and quality assurance, validation and verification. Systems implementation, integration, deployment and maintenance, metrics and economics. Cross listed with CIS 475 course. For cross listed undergraduate/graduate courses, the graduate level course will have additional academic requirements beyond those of the undergraduate course."
CIS 576,Data Management,3,,,"Graduate standing in CS or CIS, and CS 571 (recommended).  Consent of instructor for all other students with graduate standing","A study of techniques and processes to help organize, access, protect, and analyze data. Describe data collection, storage, and retrieval methods. Explain data integration and interoperability, including data transfer and exchange standards. Understand why it is important to define policies and procedures for data governance, quality, standards, security, and privacy. Describe different strategies for data analysis. Topics include data warehousing, database registries, data mining, NoSQL, and other Data Science techniques.  Cross-listed with CIS 476. For cross-listed undergraduate/graduate courses, the graduate-level course will have additional academic requirements beyond those of the undergraduate course."
CIS 580,Digital Society and Computer Law,3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or one semester of computer programming or equivalent","Ethical considerations of computer scientists and computer-related security and privacy issues; copyright, patent, trademark, and trade secret issues, deceptive trade practices, computer crime, contract issues, venture capitalists, tax issues, computer torts, constitutional issues, and international trade considerations."
CIS 588,Introduction to Expert Systems,3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or two semesters of computer programming or equivalent and one semester of statistics, or consent of instructor",Knowledge-based systems design and implementation; expert systems shells and programming environments; validation and implementation of expert systems; case studies/laboratories. Cross-listed as IME 568.
CIS 591,CIS and IT Project Management,3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or CS 390 or equivalent; or consent of instructor","Methods of PMBOK-based management of computer information systems and/or information technology design and development projects, including systems view, main project management process groups and knowledge areas, management plans, project metrics and esti"
CIS 595,Software and Web Applications Security,3,,,"Graduate standing in CS or CIS, or senior standing in CS or CIS, or CS 390 or equivalent, or consent of instructor","Various security concepts, models, methods, technologies, and tools used to design, develop, test, implement, and maintain secure software and Web applications. Topics include but are not limited to threats posed to software and Web applications, software security concepts and protection mechanisms, trust and threat model, authentication and authorization, software risks assessment and management models, secure programming and software development styles and tools. Cross listed with CIS 495. For cross listed undergraduate/graduate courses, the graduate level course will have additional academic requirements beyond those of the undergraduate course."
CIS 607,File Organization and Management,3,,,"Graduate standing in CS or CIS, or CS 102 or equivalent",File organizations and access methods. Sort/merge operations; hashing schemes for storage and retrieval. Projects involve data validation; creation and updating of files; simulation and/or implementation of direct and indexed files.
