Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
CS 100,Introduction to Programming Concepts and Languages,3,FS,QR,MTH 109 or higher,"An introduction to programming concepts and languages for non-Computer Science (CS) majors. Topics include the structure and design of algorithms, variables, constants, data types, arithmetic operations, selection and repetition structures, functions, input/output, arrays, structures, files, libraries. Students will design, write, test and run computer programs using a modern programming language as the development tool."
CS 101,Introduction to Programming,4,FS,QR,MTH 109 or higher,"Introduces the fundamental concepts of programming from an object-oriented perspective. Topics include simple data types, control structures (if-else loops, switch statements), introduction to array and string data structures, algorithms, debugging and testing techniques, and social implications of computing. The course emphasizes good software engineering principles and practices, breaking the programming process into analysis, design, implementation, and testing, with primary focus on implementation and development of fundamental programming skills."
CS 102,Data Structures,3,,,A grade of C or better in CS 101,"Introduction to concepts of object-oriented programming with review of control structures and data types and array processing. Introduction to the object-oriented programming paradigm, focusing on the definition and use of classes along with the fundamentals of object-oriented design. Overview of programming principles, simple analysis of algorithms, searching and sorting techniques, and an introduction to software engineering issues."
CS 140,Advanced Programming Concepts and Languages,3,,,CS 102,"Advanced programming concepts and languages appropriate to computer science and computer  information systems. Topics include dynamic memory management, garbage collection, advanced object-oriented concepts, generic programming, exception handling, recursion, overloading."
CS 141,Introduction to Python Programming,3,,,,"An introduction to programming in Python for majors and non-majors.  Topics include basic conditional logic, string manipulation, functions, reading/writing with simple files and exceptions.  Popular data structures like sets, tuples, lists and dictionaries will be covered.  Packages like pandas and numpy will also be presented.  Students will design, write, test and run computer programs using Python and within an integrated development environment."
CS 210,Advanced Data Structures and Algorithms,3,,,grade of C or better in both CS 102 and CS 140 or equivalents; MTH 120 or equivalent,"Advanced topics in object-oriented programming with an emphasis on advanced data structures, algorithms, and software development."
CS 215,"Computability, Formal Languages, and Heuristics",3,,,CS 210 or CIS 210 or equivalents; MTH 122 or equivalent,"Theory of computation and formal languages, grammars, computability, complexity, algorithms, heuristics, and foundations of intelligent systems."
CS 220,Computer Architecture,3,,,CS 140 or equivalent,"Basics of logic circuit design, modern processor architecture, and assembly language. Overview of principle issues of internal system architecture, including memory, buses, and peripherals."
CS 310,Information Structures and Management,3,,,CS 102,File organizations and access methods. Sort/merge operations; hashing schemes for storage and retrieval. Projects involve data validation; creation and updating of files; simulation and/or implementation of direct or indexed files.
CS 320,Symbolic Logic,3,,,MTH 120,"Logical systems; prepositional and predicate calculi. Truth tables, proofs, tautologies, principles of inference, Boolean algebra, DeMorgan's Laws, quantifiers, representations, and set theory. Cross-listed as PHL 320."
CS 321,Operating Systems,3,,,CS 220,"Fundamentals of operating systems concepts, design, and implementation. Topics include operating system components and structures, process and thread model, mutual exclusion and synchronization, scheduling algorithms, memory management, I/O controls, file systems, and security."
CS 330,Net-Centric Computing,3,,,CS 210 or CIS 210 or equivalent,"Fundamentals of data communications: data transmission, data encoding, digital data communication techniques, data link control, and multiplexing. The Web as a client-server system, building Web applications, network management and security, compression and decompression. Multimedia data technologies, wireless and mobile computing, and event-driven programming."
CS 360,Fundamentals of Data Science,3,,,CS 101 and CS 102 or equivalent,"Introduction to the knowledge acquisition and discovery process. Cleaning and analyzing data, building machine learning models, model validation and testing, and visualization. A number of machine learning algorithms are introduced such as regression, naive Bayes, decision trees, association rules, and clustering. Feature selection and transformation. Introduction to Distributed Databases and Big Data.   Programming languages, such as R and Python are covered at an accelerated pace, as the course assumes as prerequisites two semesters of programming. Emphasis is on the use of such languages for data analysis and modeling."
