Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
P T 600,Physical Therapy Professional Seminar,0,,,Physical therapy majors only,"A forum for students in all stages of the curriculum.  Faculty, clinicians, and students will lead discussions and provide presentations on a variety of topics, including areas of current research, professional practice issues, and issues pertaining to clinical education. Satisfactory/unsatisfactory."
P T 612,Functional Anatomy I,3,,,Physical therapy majors only,A lecture and laboratory study of human movement and applied kinesiology along with the introduction of physical therapy techniques to assess components of human movement.
P T 614,Gross Anatomy I,3,,,Physical therapy majors only,"Cadaveric dissection and study of the musculoskeletal, vascular, and peripheral nervous systems of the extremities."
P T 622,Functional Anatomy II,3,,,Physical therapy majors only,A lecture and laboratory study of human movement and applied kinesiology along with introduction of physical therapy techniques to assess components of human movement.
P T 624,Gross Anatomy II,3,,,Physical therapy majors only,"Cadaveric dissection and study of the structures of the nervous, cardiovascular, pulmonary, gastrointestinal, genitoutinary, and integumentary systems."
P T 630,Foundations of Physical Therapy,4,,,Physical therapy majors only,"An introduction to clinical applications in physical therapy. Topics covered in this course include basic physical therapy examination procedures, professional documentation and communication, therapeutic exercise, physical agents and mechanical modalities, and patient care skills."
P T 636,Musculoskeletal Physical Therapy I,4,,,Physical therapy majors only,"The study and application of orthopaedic basic science in the examination, evaluation, and management of dysfunctions and disabilities of the appendicular skeleton."
P T 640,Clinical Science I,3,,,Physical therapy majors only,"The anatomical, biomechanical, physiological, and histological basis of the normal and pathological musculoskeletal system, along with specialized examination, assessment, and intervention strategies for the musculoskeletal system."
P T 646,Research Methods,2,,,Physical Therapy majors only,"Research design, methods, and ethical implications; exploration of research topics with review of appropriate literature; and introduction to components of the research proposal."
P T 655,Experiential Learning,1,,,Physical Therapy majors only,"Students will work collaboratively with department faculty and fellow students to provide physical therapy services to individuals from within the community.  Client interview, assessment and treatment progression, and discharge planning will be emphasized.  Students will gain experience in supervising students with less experience, including the provision of constructive feedback."
