Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
ECO 100,Introduction to Economics,3,SF,SB,Not open to College of Business majors,"Nature, scope, and methods of economics; current economic institutions, problems, and policies. Students who have already completed ECO 221 and/or 222 will not receive credit for this course."
ECO 199,Foundational Topics in Economics,3,,,,Foundational topics of interest which may vary each time course is offered. Topic stated in current Schedule of Classes.
ECO 200,Economics Colloquium for Sophomores,1-3,,,,"Student-faculty discussion of foundational books, articles and topics in economics."
ECO 221,Principles of Microeconomics,3,SF,SB,,"Institutions, problems, and policies of the market system and alternative systems: allocation of resources and distribution of income. Not open to students with ECO 100."
ECO 222,Principles of Macroeconomics,3,SF,SB,,"Process and determinants of overall economic activity and growth. National income accounting; determination of aggregate income, employment, and the price level; money and banking; government monetary and fiscal policies; international economics."
ECO 240,Environmental Economics and Sustainability,3,,,,This course combines the economic analysis of the environment with the economics of sustainability. Environmental and sustainability economics considers the efficient and equitable use of society's scarce resources. Cannot receive credit for both ECO 240 and 340. Prerequisite:
ECO 301,Money and Banking,3,,,ECO 100 or 221; ECO 222; junior/senior standing,Real and financial sectors of the economy. Emphasis on structure and process of financial intermediation and related policy issues.
ECO 305,Public Expenditure and Finance,3,,,ECO 100 or ECO 221; ECO 222; junior/senior standing,"Economic role of government in the U.S. economy. Determination of the size and economic functions of government, federal expenditure decisions and budgeting, equity and efficiency of various types of taxes, and selected problems in state and local finance."
ECO 310,Labor Problems,3,,,ECO 100 or ECO 221; ECO 222; junior/senior standing,Theories of the labor movement; labor legislation and its effect on labor management and society's goals; theories of collective bargaining; impact of government economic policies on labor management relations; wage theory.
ECO 319,Introduction to Econometrics,3,,,ECO 100 or 221; ECO 222; QM 262 or equivalent; junior/senior standing,Techniques and procedures of application of statistical tools to economic research problems; selected methods for investigating the empirical validity of economic theory.
ECO 325,Urban Economics,3,,,ECO 100 or ECO 221; ECO 222; junior/senior standing,"Origins, economic structure, and functions of urban centers; selected economic problems and policies."
ECO 332,Intermediate Microeconomics,3,,,ECO 100 or 221; ECO 222; MTH 114 or higher; junior standing or 42 credit hours and declared economics first major,Optimizing behavior and market processes. Emphasizes proficiency in numerous microeconomic tools of analysis. Encourages thought about these tools and the real world they are designed to illuminate.
