Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
MIS 173,Introduction to Business Analytics,3,,,,"Develop spreadsheet applications for analyzing and solving problems. Learn how to gather, store, organize, secure and disseminate data with spreadsheets and databases. Learn how to convert data into information that is beneficial to supporting business decisions."
MIS 175,Introduction to Developing Business Applications,3,,,,Provides an introduction to object-oriented computer programming using VisualBasic.NET. Demonstrates the advantages of using a programming environment to efficiently develop computer programs. Focuses on developing logical approaches to problem solving and implementing programmed solutions to those problems.
MIS 272,Business Analytics Software and Applications I,3,,,MIS 173 or consent of department chair,"Students will learn commonly used data analysis tools and techniques. They will learn how to use and apply software that allows business professionals to gather, store, access, and analyze data to aid in decision making. The course will teach students how to discover and communicate information from data through the use of basic, intermediate, and advanced functions and tools in commonly used spreadsheet and database software.  Each student will learn about the visual representation of data, optimization techniques, queries, pivot tables, reporting tools, data storage, and more."
MIS 275,Business Applications Using Visual Basic,3,,,MIS 175,"Object oriented business application development using Visual Basic. Emphasis on object classes, events and properties, and data structures, controls, and objects."
MIS 276,Ecommerce Models and Applications,3,,,,"Understand how different competitive contexts that drive ecommerce business models. Understand the technological infrastructure needed to support ecommerce. Design an ecommerce presence. Understand and interpret ecommerce analytics.  Brief introductions to HTML, CSS, and scripting language."
MIS 289,Topics in Management Information Systems,1-3,,,,"Topics of special interest in management information systems, which may vary each time the course is offered. Topic and prerequisite stated in current Schedule of Classes.  May be repeated under different topics for a maximum of six hours credit."
MIS 373,Applied Networking,3,,,42 hours,"Gives students an understanding of basic network design concepts and an opportunity to apply them in a business context. Studies the functionality, performance and management of multiple network designs. Application of the theories, design and technologies utilized in modern business data communications networks."
MIS 374,Database Management and Administration,3,,,MIS 272 and 42 hours,"Introduces the fundamental concepts of database analysis, design, and implementation with emphasis on the relational model. Topics include SQL, data modeling, data normalization, tables, queries, data mining, security, database administration, and backup/recovery."
MIS 375,Business Systems Analysis and Design,3,,WI,MIS 272 and junior standing,"Information systems in business applications. Emphasis on relationship of information systems planning to overall business goals, policies, plans, management style, and industry condition; analysis, design, and implementation of information systems. Overview of future trends in data management."
MIS 378,Human-Computer Interaction and Usability Testing,3,,,,Provides an introduction to the theory of human factors and process of usability testing. Explores current theory of human factors and human-computer interaction and how they should be applied to designing business systems. Emphasis placed on the scientific approach to systems testing to ensure systems meet usability standards and on the statistical benchmarking these tests provide. This is a non-technical course designed for those interested in managing the development of technical products and evaluating the usability of existing products and processes.
MIS 379,Information Systems Security,3,,,Junior standing,"An introduction to the various technical and administrative aspects of information security and assurance. Provides the foundation for understanding the key issues associated with protecting information assets, determining the levels of protection and response to security incidents, and designing a consistent, reasonable information security system, with appropriate intrusion detection and reporting features."
MIS 383,Advanced Ethical Hacking,3,,,MIS 379 or CIS 435 or permission of instructor Corequisite: MIS 373 or CIS 430,"Provides students with hands-on experience with all phases of a security assessment for a live client. Students are responsible for planning the assessment, executing assigned tasks, and reporting results."
MIS 389,Advanced Topics in Management Information System,1-3,,,,"Advanced topics of special interest in management information systems, which may vary each time the course is offered. Topic and prerequisite stated in current schedule of classes.  May be repeated under different topics for a maximum of six hours credit."
