Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
FCS 100,Family Dynamics,3,,SB,,"Examine relationships within family systems across the life span, and their reciprocal relationship with cultural and societal dynamics. Strengthen skills necessary for healthy relationships, including problem solving, communication, conflict resolution, decision-making, time- and stress management. Explore and integrate research and theories in family studies."
FCS 103,Food Resource Management,3,,,FCS major or consent of instructor,"Application of concepts related to decision-making, planning and budgeting, and preparation of food."
FCS 131,The Fashion Industry,3,,,,Exploration of the structure and scope of the fashion industry and related careers.
FCS 133,Apparel Production,3,,,,Study of garment manufacturing and decision making involved in producing apparel. Includes laboratory.
FCS 140,Introduction to Family and Consumer Sciences,2,,,FCS Major,"Family and consumer sciences professions, history, philosophy, theory and foundations."
FCS 170,Introduction to the Hospitality Industry,3,,,,"Introduction to the history, growth, and development of global tourism and the hospitality industry including the leadership, ownership, management, organization, and structure of hotels and food service operations, and the many diverse hospitality venues;  professional associations; hospitality labor trends; promotional practices; and best practices in hospitality."
FCS 172,Hospitality Practices I,3,,,FCS 170 or concurrent enrollment,"Overview of hospitality practices to include review of economic environment of profit and nonprofit organizations, application of a systems approach to the identification of inputs such as function objectives, site selection and venue specifications, resources available and utilized including financial, labor  and appropriate sponsorships; planning and development of procedures, timelines, budgets, Request For Proposals (RFP), regulation compliance activities; event contracts and negotiations; promotional activities; on-site logistics; management of events; and assessments."
FCS 173,Lodging Operations,3,,,,"Discover and apply information about lodging operations, such as front office procedures, guest relations, reservations, selling strategies, handling guest inquiries, night audit functions, and computer applications."
FCS 202,Food and Nutrition,3,,NS,,An overview of the science of nutrition including macronutrients and micronutrients. Primarily focuses on the relationship between dietary intake and health. Examines current issues in human nutrition.
FCS 203,School Health Promotion,3,,,,"Concepts of promoting health of K-12 and college students. Emphasis on skills-based health education, components of coordinated school health, school wellness policies, and teaching strategies for meeting health needs of learners in group settings."
FCS 204,Family Programs Across the Life Span,3,,,FCS majors or consent of instructor,"Exploration of local, state, and national level programs, services, and policies for families from a life span perspective."
FCS 220,Consumer Issues in Health Care,3,,,"HS 110 or FCS major, and sophomore standing; or instructor consent","Evaluating consumer health information and resources, including an overview of health care systems and health services across the life span. Cross listed as HS 220."
FCS 221,Introduction to Community and Public Health,3,,,,"Overview of principles and concepts of community and public health including determinants of health, community health needs among diverse populations, and health agencies and organizations."
FCS 231,Pattern Making,3,,,FCS 133 or consent of instructor,Principles of flat pattern method; pattern alteration; original pattern design; completed garment.
FCS 233,Consumer Textiles,3,,,,"Consumer-oriented study of textiles emphasizing fibers, yarns, fabric constructions, and finishes."
FCS 237,Sustainability in Retail,3,,GP GS,,"Environmental, economical, and ethical sustainability practices of retail industries from the raw material to disposal."
FCS 270,Special Event Planning,3,,,,"Study of event planning, implementation, and evaluation."
FCS 271,Food & World Cultures,3,,GP WC,,"This course is an exploration of a variety of foods and cultures that demonstrate the influences of demography, geography, history, social traditions, religious beliefs, and other environmental considerations on food, its preparation, service, and symbolism/meaning."
FCS 272,Hospitality Facilities Management,3,,,"FCS 170 or concurrent enrollment, FCS 173 or concurrent enrollment","A comprehensive introduction to hospitality-related facility services and establishment of departments, examination of the associated functions, and the interdependent relationship among departments. Facilities and property management concepts introduced."
FCS 300,Consumer Issues in America,3,SF,SB,,"Personal finance, consumer credit, durable and non-durable goods and services, and consumer protection in the marketplace."
