Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
FIN 220,Personal Finance,3,SF,SB,,"Principles and practice of management of personal income, wealth, and credit: budgeting, sources of financing, savings, estate planning, and institutions of personal finance."
FIN 322,Business Finance,3,,,ATG 157 and junior standing or 42 credit hours and declared finance or actuarial science first major,Capital budgeting and principles of financial management. External and internal sources of funds: costs and profitable uses in business organizations.
FIN 323,International Financial Management,3,,,ATG 158; ECO 222; junior/senior standing,"Financial characteristics of international business. International exchange, liquidity, markets, investments, and banking, in context of historical development, environmental characteristics, economic factors, political systems, and legal constraints. Emphasis on exchange rate exposure management. Cross listed as IB 323."
FIN 325,Investment Analysis,3,,,"FIN 322, QM 262 or MTH 325",Principles of investment analysis. Introduction to security valuation using fundamental analysis with associated trading rules. Introduction to technical analysis/charting with trading rules. Functions and descriptions of securities markets and trading.
FIN 327,Derivative Securities,3,,,FIN 322; QM 260 or MTH 122,"Overview of options, futures, swaps, and related financial securities. Examination of exchanges, pricing issues, arbitrage, and trading strategies. Applications emphasize the use of derivative securities for managing financial risk."
FIN 328,Financial Institutions and Markets,3,,,ECO 100 or 221; ECO 222; junior standing,"Operation of financial institutions and interrelationships between their operations and economic activity; credit flow and money movements, in the context of financial institutions' operations. Structure and organization of the financial system; emphasis on markets and intermediaries."
FIN 329,Commercial Bank Management,3,,,"FIN 322, FIN 328","The role of commercial banks in the capital markets; introduction and application of financial management concepts, tools, and techniques to the fundamental financial decisions that managers of commercial banks make. Focus is on the dynamic banking environment, regulations, nature of risks, asset and liability management, investment and credit decisions, and financing decision of commercial banks."
FIN 330,Financial Services Marketing,3,,,"FIN 322, MTG 315","Examination of the increasing use of marketing techniques in the financial services industry and the changing environment of financial services. Course is structured around the core marketing principles of buyer behavior, segmentation, product development, distribution, pricing and promotion, as well as topics such as relationship marketing, customer loyalty, and technological developments. Designed for students with an interest in banking, insurance, securities, and other financial services industries. Cross listed with MTG 330."
FIN 384,Entrepreneurial Finance,3,,,ENT 382 or FIN 322,"Planning and strategies involved in starting or expanding a business. Emphasis on capitalization, record keeping, liquidity management, fixed asset management, financial analysis, expansion strategies, establishing firm value, and exiting the firm. Cross-listed with ENT 384."
FIN 421,Liquidity Management,3,,,"FIN 322, QM 263",Managing firms' liquidity position; emphasis on use of positive and normative models dealing with short term assets and liabilities; ensuring liquidity while enhancing firm value.
