Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
HIS 201,"Violence, Crime, and Punishment in U.S. History",3,,"GP GS,HU",,"This course explores the social, political, and cultural history of violence, crime, criminal law, policing, and punishment in the United States from the Colonial period to the present."
HIS 203,American History and Global Systems to 1877,3,,"GP GS,HU",,"Surveys the transnational history of the Americas and the United States to 1877. Emphasizes globally significant trends and systems such as colonialism, mercantilism, nationalism, and the slave trade.  Investigates the relevance of systems and their supporting beliefs to the growth and limits of democracy."
HIS 204,American History and Global Systems since 1877,3,,"GP GS,HU",,"Surveys the transnational history of the Americas and the United States since 1877. Emphasizes globally-significant trends and systems such as migration, imperialism, liberalism, progressivism, and consumption economies.  Investigates the relevance of systems and their supporting beliefs to the growth and limits of democracy."
HIS 205,Non-Western Civilization:  Latin America,3,NW,"GP WC,HU,WI",,"Major social, economic, and political institutions and forces that have shaped Latin American society. Emphasis on socioeconomic changes in the 20th century that have polarized the social class structure and encouraged political upheaval."
HIS 206,Non-Western Civilization:  the Middle East Since Muhammad,3,NW,"GP WC,HU",,"History of the Middle East from the time of the prophet Muhammad to the present. Pre-modern, modern, and contemporary Middle East."
HIS 207,"Non-Western Civilization: Modern Japan, 1860-Present",3,NW,"GP WC,HU",,The rise of modern Japan: The growth of Japanese power and its influence in the world economy.
HIS 208,Non-Western Civilization:  Russian History,3,NW,"GP WC,HU,WI",,"Russian and Soviet history from its origins to the present. Major features of pre-modern, modern, and contemporary Russian civilization."
HIS 210,History of European Film,3,,MI,,"Explores the relationship between filmmaking and political, social, and intellectual history from the invention of the cinema in the 1890s to the present day. Students gain a better understanding of film as both an art form and as a reflection of broader historical concerns."
HIS 300,The United States Since 1945,3,,,,"Social-cultural, political, economic, and diplomatic aspects of U.S. history since 1945."
HIS 301,Topics in American History:  Intellectual,3,,,,Topics of special interest which may vary each time course is offered. Topic stated in current Schedule of Classes. May be repeated under a different topic for a maximum of 6 hours credit.
HIS 302,Topics in American History:  Diplomatic,3,,,,Topics of special interest which may vary each time course is offered. Topic stated in current Schedule of Classes. May be repeated under a different topic for a maximum of 6 hours credit.
HIS 303,American Urban History,3,,,,Growth and development of American cities in historical context.
HIS 304,Women in American History,3,,,,"Political, economic, and social status of women in American society since Colonial times. Reasons for the changing role of women; major problems confronting women in the 20th century."
HIS 305,American Indian History,3,,,,History of the first Americans; Indian-White relations since 1492. Origins and varied cultures of American Indians.
HIS 306,The United States Civil War Era,3,,,,"U.S. history 1830-1877: events and developments leading to civil war, the war itself, and efforts to reconstruct the Union after 1865."
HIS 307,History of the Early American Republic,3,,,,"Explores the evolution of early national and state governments and the various attempts at practicing democracy in a nation that incorporated chattel slavery and limited suffrage. Investigates how individuals and groups employed democratic ideals to gain access to power. Analyzes civic ideals and practices with particular attention to Native Americans, African Americans, and women. Contextualizes the coming of the Civil War."
HIS 308,Topics in American History:  Political,3,,,,Topics of special interest which may vary each time course is offered. Topic stated in current Schedule of Classes. May be repeated under a different topic for a maximum of 6 hours credit.
HIS 309,The History of U.S. Law Enforcement,3,,"HU,MI",,Historical roots of American law enforcement; establishment of an organized police in the U.S.; historical efforts to improve American police work.
HIS 310,America and Vietnam 1940-Present,3,,,,The Vietnam War: America's role in it and its legacies for both nations.
HIS 311,History of American Political Economy,3,SF,,,"Analyzes the economic history of the United States, stressing the influence of government policy on economic development."
HIS 314,Non-Western Civilization: Japan & World War II,3,NW,"GP WC,HU",,Analyzes Japanese militarism and expansionism and examines the significance of Japan's World War II defeat and its impact on the Asian/Pacific world. Prerequisite:
HIS 315,U.S. Social Movements,3,,HU,,"Explores the major social movements of recent U.S. history. Study of the labor movement, the civil rights movement, Chicano and American Indian movements, campus and counterculture radicalism, anti-war protests, women's rights, gay and lesbian rights, environmentalism, and the nuclear freeze movement, with an examination of how activists crafted a politics of protest as they fought for greater equality and justice. Analyzes the roles that social movements played in strengthening democratic ideals and practices by expanding the role of the citizen in the community, the nation, and the world."
HIS 316,African American History Since 1877,3,SF,"GP WC,HU",,"Explores the integral place of African Americans in American history and culture from Reconstruction to the present. Analyzes historical achievements of African Americans, as well as social changes and cultural perspectives on race, class, gender, sexuality, and nation that have shaped the black experience. Topics include Reconstruction, Jim Crow, the Great Migration, black protest organizations, labor, the Harlem and Chicago Renaissances, art and cultural production, the Civil Rights and Black Power movements, and historical and contemporary American racial politics."
HIS 317,American Masculinities,3,CD,"HU,MI",,"Investigates the historical development, change, and expression of gender ideals that Americans have labeled manhood, manliness, or masculinity.  Incorporates methodologies from history, gender studies, literary studies, and the social sciences to explore how disparate gender ideals have articulated with distinctions of race, class, gender, sexuality, and nation.  Applies an interdisciplinary approach to provide students with an awareness of the historically and culturally contingent nature of masculinity and how notions of masculine ideality have reinforced or challenged structures of privilege and exclusion.  Develops skills of interdisciplinary gender analysis in the study of historical documents and artifacts."
HIS 320,Renaissance and Reformation,3,,,,Renaissance and Reformation as part of the transitional era between the Medieval and Modern ages. Renaissance emphasis on reason and humanism balanced by Reformation focus on faith and spiritual concerns.
HIS 321,Topics in European History:  Intellectual,3,,,,Topics of special interest which may vary each time course is offered. Topic stated in current Schedule of Classes. May be repeated under a different topic for a maximum of 6 hours credit.
HIS 323,Ancient Greece and the Hellenistic World,3,,HU,,"An examination of ancient Greek and Hellenistic societies, politics, and cultures from circa 1200 to 30 BCE. Introduces the Minoan and Mycenaean precursors before exploring the Archaic and Classical eras in detail. Follows Alexander's conquests and investigates cross-cultural influences and everyday lives in the Hellenistic nation-states."
HIS 324,Barbarians in History,3,,,,Significant barbarian invaders of Inner Asia; their role in the development of human civilization.
HIS 325,Roman Civilization,3,,HU,,"Values and institutions of Roman society during Kingship, Republic, and Empire periods. Emphasis on the Republic at its peak, Rome's imperialism, and complex issues involved in Rome's fall; also impact of Roman values and practices on Western civilization."
HIS 326,Modern Military Forces and Institutions,3,SF,,,European and American military experiences: 1700 to present.
HIS 327,Topics in European History: Cultural,3,,,,Topics of special interest which may vary each time course is offered. Topic stated in current Schedule of Classes. May be repeated under a different topic for a maximum of 6 hours credit.
HIS 328,England and the American Revolution,3,,,,"American Revolution from the perspective of the common Anglo-Saxon cultural, political, economic, intellectual, and social heritage."
HIS 329,Modern Germany 1870-Present,3,,"GP WC,HU",,"Examines German history in the modern era of unification, imperialism, war and revolution, Weimar democracy, Nazi racial dictatorship, World War II and genocide, Cold War division, and processes of reunification since 1989."
HIS 330,Modern China,3,NW,"GP WC,HU",,"The People's Republic of China is the most populous nation in the world, and for more than a decade it has had one of the largest and fastest growing economies. The last two centuries, however, have seen a succession of states and governments rise and fall in China, tremendous prosperity as well as great poverty, periods of relative social stability and of extreme unrest, continuous and yet changing involvement with the outside world, and fluctuations in what it has meant to be Chinese. This course will examine China's rich history since the 17th century in order to foster greater understanding of one of the most complex and vibrant countries in world history."
