Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
IME 103,Computer Aided Graphics,2,,,,"Computer aided drafting, theory of orthographic projection, sections, auxiliaries, and basic dimensioning."
IME 105,Introduction to Computers & Computation in Ind. & Mf Engineering,2,,,,"Use of computers in IME and MFE environments, use of various packages, LAN and WAN usage."
IME 110,Introduction to Computers & Computational Analysis,3,,,,"Use of various modern computing technologies, including numerical analysis software and Internet-based applications. Coding of numerical algorithms as applied to engineering functions. CoRequisite: MTH 115 or IMT 212 or consent of instructor"
IME 117,Computer Numerical Applications,2,,,IME 105. Corequisite: Integral calculus,Continuation of IME 105; coding of numerical algorithms as applied to engineering functions. Includes laboratory.
IME 200,Engineering Co-Op,0,,EL,"Sophomore standing in the College of Engineering and Technology, 2.0 overall grade point average at Bradley, approval of engineering and technology Co-op coordinator and Co-op faculty advisor",Full-time cooperative education assignment for manufacturing engineering and industrial engineering students who alternate periods of full-time school with periods of full-time academic or career-related work in industry. Satisfactory/Unsatisfactory.
IME 241,Manufacturing Fundamentals,3,,,IME 103 or consent of instructor,"Fundamental knowledge and skills to work in the manufacturing field. The role, function and constraints of product design and process planning within a manufacturing system, and the basic principles of different manufacturing processes. The elements of physical manufacturing environment and the basic properties of different types of production materials.  Not open to students with credits in any 300- or 400-level IME or IMT course."
IME 300,The World of Metals,3,TS,,,"Designed for students concerned with metals and those with a general interest in the history of the metals upon which all civilization since the Stone Age has relied. Modern metallurgical technology, heat treatment, periodic table of elements, aspects of materials science and engineering, and history of technical procedures. Draws upon many modern and ancient texts. Not open to majors in engineering and technology."
IME 301,Engineering Economy I,3,,,MTH 121 or IMT 212,Analysis of economic aspects of engineering decisions. Effect of interest and other cost factors on evaluation of engineering alternatives. Roles of mathematical models and other techniques in economical design and test of products. Introduction to value engineering.
IME 302,Introduction to Quality Engineering,3,,,One semester college calculus,"Definition of quality, need for quality in products and services, methods of assuring quality, fundamentals of probability and statistics, process control methods, acceptance sampling, designing experiments, a system for quality. Not open to IME majors."
IME 305,Engineering Economy II,2,,,IME 301,"Continuation of IME 301. Economic aspects of engineering decisions including techniques of obtaining cost data, product costing, and break-even analysis. Industrial practices."
IME 311,Introduction to Engineering Statistical Methods,3,,,MTH 122,Engineering data collection and analysis; discrete and continuous probability models; confidence intervals; tests of hypotheses; regression analysis; essentials of statistically designed experiments; engineering application of statistical methods. Extensive use of statistical computer software.
IME 312,Engineering Statistical Methods,3,,,IME 311 with C or better,"Extension of IME 311: Probability models, multi-variable analysis, step-wise design of statistical experiments, multiple regression, response surface analysis, distribution of random vectors, function of random variable sample statistics. Required semester project. Extensive use of statistical computer software."
IME 313,Operations Research I,3,,,MTH 122,"Philosophy and techniques of operations research. Emphasis on elementary model building and concepts of optimization, structure of problem solving; linear programming, transportation and assignment algorithms; game theory; network analysis, branch and bound theory; dynamic programming; decision theory involving one stage problems."
IME 314,Operations Research II,3,,,"Minimum grade of C in IME 311, 313","Probabilistic models of operations research: inventory theory, Markov chains, queuing theory, and simulation."
IME 325,Transport Phenomena,3,,,"CHM 110, 111, PHY 201, MTH 223","Energy, heat, and mass transfer. Basic principles in thermodynamics, fluid flow, heat transfer, and mass diffusion. First and second laws of thermodynamics, work and adiabatic processes, reversible and irreversible processes, power. Fluid statics, pressure, energy, and losses. Heat conduction, convection, and radiation. Steady-state and transient mass diffusion."
IME 331,Fundamentals of Materials Science,3,,,"CHM 110, 111; PHY 110 or PHY 107","Materials science in engineering. Structure of perfect solids: metals, plastics, composites, and ceramics. Structure of imperfect solids: phase equilibria; diffusion, mechanical properties, and plastic deformation; strengthening mechanisms; relation between mechanical properties and microstructural control; organic polymers; electrical conduction in materials; semi-conductors; magnetic materials."
IME 333,Materials Science Laboratory,2,,WI,IMT 232 or IME 331,"Laboratory practices and experience for basic materials science investigations.  Mechanical testing, metallographic examination and thermal treatment of metals, non-destructive and destructive testing of non-metallic materials."
IME 341,Introduction to Manufacturing Processes,3,,,IME 103,"A laboratory-intensive introduction to manufacturing machinery and processes, tooling, and safety. Product specification interpretation and associated planning for tooling and methods. Material removal; forming operations; casting and molding of metals and plastics; joining techniques."
IME 361,Introduction to Simulation and Expert Systems,2,,,IME 110; IME 311 or IME 302,"Procedures and rationale for planning, designing, and implementing computer simulation experiments and expert systems used to analyze human-machine systems in engineering, business, and social sciences."
IME 383,Industrial Management,3,,,,Principles of management applied to design of organizations' physical facilities and operation systems. Not open to IME majors.
IME 385,Introduction to Logistics and Supply Chain,3,,,IME 302 or equivalent or consent of the instructor,"Logistics terms and definitions; logistics demand forecast; transportation decision models; supply chain concepts, analyzing, designing, and implementing logistics systems."
IME 386,Industrial and Managerial Engineering,3,,,MTH 121 or IMT 212 or Equivalent,Principles of IME applied to design of an organization's physical facilities and operating systems. Analysis and measurement of human work applied to work system design. Laboratory and interdisciplinary community projects.
IME 395,Solid Modeling & Rapid Prototyping,3,,,"IME 103, 110, 341","Principles of solid modeling and 3D drafting. Solids, surfaces, wire frames, pictorial representation, advance dimensioning, tolerancing, geometric dimensioning and tolerancing, drafting for production, techniques of rapid prototyping."
