Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
M L 300,Environments of Organizations,2,,,Junior Standing,"Prepares students to be productive managers by increasing their understanding of the organization context.  Provides an overview of the environments in which firms operate.  Gives students a fundamental understanding of the various industries in which firms function and the key issues within those environments that affect the practice of management (including adapting to global environments, sustainability, and ethics) providing students with the conceptual frameworks and tools that will enable them to analyze and understand the managerial context.  Students discuss and perform analysis and assessment of the environments of organizations."
M L 315,Risk and Insurance,3,,,Junior standing,Insurance aspects of risk. Nature of risk assessment and control and financing activities in organizations. Firm risk policy issues.  Cross-listed as ASB 315.
M L 350,Managing for Results in Organizations,3,,,Junior standing or 42 credit hours and Foster College of Business major or consent of department chair,"Management functions, including planning, organizing, staffing/human resource management, leading/interpersonal influence and controlling in both domestic and international spheres. Emphasis on professionalism and team dynamics including diversity, problem solving, decision making, conflict management, and communication."
M L 353,Operations Management in Organizations,3,,,Q M 262; M L 350,"Survey of issues and methods related to designing, implementing, and controlling the production and delivery of goods and services.  Topics include waiting line management, forecasting, project management, JIT and lean operations, supply chain management, Six Sigma quality management, and strategic importance of operations management."
M L 354,Maximizing Effectiveness in Organizations,3,,,"M L 350, PSY 101","Organizational effectiveness theories and techniques.  Analysis and data gathering tools including employee survey research, process mapping, organizational culture assessment, and systems thinking.  Action planning and implementation topics including organizational adaptability, leadership coaching, and organizational change management.  Introduction to consultative skills."
M L 356,Human Capital in Organizations,3,,,M L 350,"A survey course considering the strategic management of firm's human capital in the context of the human resource management function. Covers the legal, strategic, and regulatory facets of human resource management along with the topics of staffing, training, compensation management, and labor relations. Experiential exercises, case studies, and class presentations will be used to illustrate the effective and efficient management of a firm's human capital through human resource management."
M L 357,Leading Organizations,3,,,M L 350; junior/senior standing,"Theory and practice of organizational leadership skills. Exposure to major leadership theories and advanced interpersonal techniques. Transformational Leadership, Servant Leadership, Authentic Leadership, building self-awareness, motivating and empowering followers, and communicating with influence.  Applied projects and in-class experiences."
M L 358,Managerial Decision Making,3,,,Junior standing,Descriptive and prescriptive approaches; formal and informal methods. Emphasis on subjective judgments and choices.
M L 394,Supply Chain Tools and Techniques,3,,,"MTG 315, M L 353","Prepares students for work as supply chain professionals by giving them familiarity with the dominant terminology, tools, and approaches used in supply chain management. Cross-listed with MTG 394."
M L 406,International Management,3,,,,"Managers increasingly have to interact, negotiate and compromise with people from contrasting cultures.  The potential for management frustration, costly misunderstandings and even business failures increases significantly when dealing with people whose values, beliefs, customs and first language are different.  However, when understood and successfully managed, differences in culture can lead to innovative business practices and sustainable sources of competitive advantage."
M L 415,Diversity in the Workplace,3,,,Junior/Senior Standing,"As managers, as members of the workforce, and as human beings, all of us are being called to invest in diversity in ways that enable us to overcome its challenges and reap its benefits. In this introductory course, we will consider how understanding cultural differences and managing diversity is essential to healthy and profitable workplaces.  We will explore diversity definitions and perspectives, laws, organizational structures, and management activities as they relate to characteristics such as gender, race, age, religion, sexual orientation, and disability.  Students will also examine their own identities and perspectives through class discussion, readings, and exercises."
M L 420,Performance Management,3,,,M L 350; junior/senior standing,"This course focuses on performance management in organizations with the goal that students will achieve a comprehensive understanding of organizational activities that are directly and peripherally related to performance management. Students will examine performance management activities from the perspectives of both a manager and an employee. Key performance management activities covered include defining performance, measuring performance, providing performance feedback, conducting a formal performance review meeting, and developing employees."
M L 450,Competitive Strategy,3,,,M L 350; FIN 322; MTG 315,"Concepts, principles, and techniques of developing strategy in competitive markets. Case studies for analysis of firms' strategic maneuvering. Simulation exercises on strategic decision making in competitive market structures."
M L 452,Strategic Management in Organizations,2,,MI,FIN 322; M L 350; MTG 315; senior standing. Corequisite: BUS 400,"Integrative capstone includes the strategic-planning process, environmental analysis, developing strategy, strategic decision making, and strategy execution. Concurrent enrollment with BUS 400 required."
M L 456,Compensation Management,3,,,M L 356,"Advanced course considering the strategic management of a firm's human capital through the human resource management function of compensation management. Compensation management topics of internal alignment, external competitiveness, pay for performance, benefits management, and pay system administration will be considered. Includes an integrative simulation exercise to illustrate the effective and efficient management of a firm's human capital through compensation management."
