Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
MTH 101,The Art of Mathematical Thinking,3,MA,QR,,"Great ideas in mathematics, problem solving, contemporary applications."
MTH 105,Finite Mathematics,3,,,,"Topics from finite mathematics: sets, matrices, systems of linear equations, linear programming, elementary probability, multistage processes, and Markov chains."
MTH 109,College Algebra,3,,,The mathematics placement exam score is at least 46,"For students who need to strengthen their algebra skills: factoring polynomials; solving quadratic and other equations; exponents, logarithms, and graphing."
MTH 111,Elementary Statistics,3,MA,QR,,"Probability, descriptive statistics, statistical models, correlation and regression, testing hypotheses, confidence limits, and selected applications."
MTH 112,Precalculus,4,,,Grade of C or better in MTH 109; or the mathematics placement exam score is at least 61,"For students needing further background in mathematics before enrolling in calculus (especially MTH 121). Thorough study of algebraic, transcendental, and trigonometric functions; emphasis on graphing and use of algebra."
MTH 114,Applied Finite Mathematics,3,,QR,Grade of C or better in MTH 109 or 112; or the mathematics placement exam score is at least 61,"A survey of the most common mathematical techniques used in business.  Topics include: linear functions,  non-linear functions (polynomials, exponentials, logarithms), systems of linear equations, linear programming, sets and probability, introduction to basic statistics."
MTH 115,Brief Calculus With Applications I,4,MA,QR,Grade of C or better in MTH 109 or 112; or the mathematics placement exam score is at least 61,"Differential and integral calculus with emphasis on understanding through graphs. Topics in analytic geometry, limits, derivatives, antiderivatives, definite integrals, exponential and logarithmic functions, and partial derivatives."
MTH 116,Brief Calculus With Applications II,3,MA,QR,C or better in MTH 115,"Continuation of MTH 115. Includes trig functions, integration techniques, series, differential equations, and multivariable calculus."
MTH 118,Calculus With Review A,4,,,The sum of the mathematics ACT score and the mathematics placement exam score is at least 45,"Topics in analytic geometry, limits, continuity, derivative, and pertinent algebra review."
MTH 119,Calculus With Review B,4,MA,QR,grade of C or better in MTH 118,"Continuation of MTH 118. Topics in analytic geometry, definite integral, Fundamental Theorem of Calculus, and pertinent algebra review."
MTH 120,Discrete Mathematics,3,,,Grade of C or better in MTH 112; or the mathematics placement exam score is at least 68,"Introduction to graph theory, Boolean algebra, mathematical induction, and elementary combinatorics."
MTH 121,Calculus I,4,MA,QR,Grade of C or better in MTH 112; or the mathematics placement exam score is at least 76,Topics in analytic geometry; limits; continuity; differentiation; introduction to integration; applications.
MTH 122,Calculus II,4,MA,QR,Grade of C or better in MTH 119 or MTH 121 or its equivalent,"Topics in calculus of logarithmic, exponential, and trigonometric functions; techniques of integration; analytic geometry; indeterminate forms; improper integrals; infinite series."
MTH 190,Topics in Mathematics for Middle School Teachers,3,,,"C or better in MTH111 and C or better in one of MTH115, 119, or 121 and permission of the Chair","Topics for middle school math teachers which may vary each time course is offered, rotating among: analytic geometry, problem solving,linear programming. May be repeated under different topics for a maximum of 6 hours credit."
MTH 207,Elementary Linear Algebra With Applications,3,,,"MTH 122, or consent of instructor","Matrix algebra, determinants, theory of simultaneous equations, vector spaces, bases, Gram-Schmidt orthogonalization, eigenvalues, eigenvectors, transformations, and applications."
MTH 223,Calculus III,4,MA,QR,grade of C or better in MTH 122,Topics in vectors; calculus of functions of several variables; multiple integrals; vector calculus.
MTH 224,Elementary Differential Equations,3,,,MTH 223,Solution of second order equations with constant coefficients; Laplace transforms; power series methods; numerical methods; modeling; applications.
MTH 300,Topics for Middle School Math Teachers,3,,,"C or better in MTH 111 and C or better in one of MTH 115, 119, or 121 and permission of the Chair","Topics of special interest which may vary each time course is offered, rotating among geometry, algebra/number theory, and problem-solving. Historical motivations will be provided within each topic.  For middle school teacher certification; does not count toward a math major or math minor. May be repeated under different topics for a maximum of 9 hours credit."
MTH 301,Combinatorics,3,,,"MTH 120, 122; or MTH 223","Combinatorial analysis, recurrence relations, generating functions, and finite-state machines."
MTH 302,Introduction to Graph Theory,3,,,"MTH 120, 122; or MTH 223","Theory and applications of graphs, including historical motivations. Fundamental properties of graphs, circuits, cycles, trees, and graph algorithms; planarity and coloring."
MTH 305,Modern Geometry,3,,,MTH 223,"Introduction to properties of formal axiom systems. Study of Euclidean and non-Euclidean geometries, including historical motivations.  Topics will be explored using appropriate dynamic software."
MTH 307,Linear Algebra,3,,,MTH 207,"Vector spaces, linear transformations, inner product spaces, Jordan canonical forms, spectral theorems, and selected topics."
MTH 310,Introduction to Number Theory,3,,,MTH 223,Historical development of number theory; primes and their distribution; divisibility; unique factorization of integers; congruences; Diophantine equations; number theoretic functions.
MTH 325,Probability and Statistics I,3,,,MTH 223,An upper-level treatment of fundamental concepts in probability theory and statistics:  discrete and continuous random variables; particular probability distributions of each type; multivariate probability distributions; conditional and marginal probabilities; moment-generating functions; Central Limit Theorem.
MTH 326,Probability and Statistics II,3,,,MTH 325,"A continuation of MTH 325 which focuses on statistical inference by way of confidence intervals, hypothesis tests, least-squares regression models, and analysis of variance.  Key concepts also include:  measures of goodness for point estimators, minimum-variance unbiased estimators, uniformly most powerful tests, maximum likelihood estimators."
MTH 335,Topics in Actuarial Science,3,,,"MTH 207, MTH 223; or consent of instructor","Topics may vary each time course is offered, rotating among compound interest, mathematics of life contingencies, and actuarial mathematics. Some topics will coincide with those on actuarial exams. May be repeated under different topics for a maximum of 9 hours credit."
MTH 345,Differential Equations,3,,,"MTH 207, 223; or consent of instructor",Existence and uniqueness theorems; solution methods for initial and boundary value problems; linear and nonlinear systems; stability theory; difference equations.
MTH 371,History of Mathematics,3,,,MTH 207 and 3 semester hours from courses numbered MTH 301 or above; or consent of instructor,A survey of the historical development of mathematics from antiquity to the twentieth century.  Emphasis will be on the interrelations between the various areas of mathematics as well as the mathematical content itself.
MTH 390,Mathematical Modeling,3,,,MTH 223; consent of instructor,Introduction to constructing and evaluating mathematical models for describing and analyzing real world phenomena. Continuous and/or discrete models.
MTH 403,Complex Variables I,3,,,"MTH 207, 223; or MTH 224","Introduction to complex calculus: elementary functions, integration, Cauchy's formula, residue theory, and applications."
MTH 404,Modern Algebra I,3,,,"MTH 207, 223","Basic theory of sets, integers, and mappings; elementary properties of groups, rings, and fields."
MTH 405,Modern Algebra II,3,,,MTH 404,"Topics selected from theory of rings, field theory, and applications."
MTH 406,Elementary Topology,3,,,"MTH 207, 223; or consent of instructor","Introduction to rudiments of point set topology. Concepts of compactness, connectedness, and continuity, in context of general topological spaces and metric spaces."
MTH 410,Numerical Methods I,3,,,CS 100 or 101; MTH 207 and 223,"Introduction to numerical and computational aspects of various mathematical topics: finite precision, solutions of non-linear equations, interpolation, approximation, linear systems of equations, and integration. Credit will be given for only one of MTH 410, MTH 510."
MTH 411,Numerical Methods II,3,,,MTH 224 or 345; MTH 410,"Continuation of MTH 410: further techniques of integration, ordinary differential equations, numerical linear algebra, nonlinear systems of equations, boundary value problems, and optimization. Credit will be given for only one of MTH 411, MTH 511."
MTH 414,Partial Differential Equations,3,,,MTH 224 or MTH 345,"Fourier series and applications to solutions of partial differential equations. Separation of variables, eigenfunction expansions, Bessel functions, Green's functions, Fourier and Laplace transforms. Credit will be given for only one of MTH 414, MTH 514."
MTH 420,Introduction to Analysis,3,,,"MTH 207, 223","Real number system and functions of real variables: sequences, limits, continuity, differentiation, series, uniform convergence, and the Riemann-Stieltjes integral."
MTH 421,Advanced Calculus,3,,,MTH 420 or consent of instructor,"Functions of several variables. Calculus of transformations, implicit and inverse function theorems, line and surface integrals, Fourier analysis, fixed point theorems, and applications."
MTH 427,Applied Statistical Methods,3,,,MTH325; MTH326 or consent of instructor,"Regression analysis, time series analysis, and forecasting"
MTH 428,Topics in Applied Statistics,3,,,Math 325; Math 326 or consent of instructor,"A continuation of Math 427 to include further studies in statistics such as Bayesian statistics, statistical computing, or multivariate methods.  May be repeated under different topics for a maximum of 6 hours credit."
MTH 435,Stochastic Processes,3,,,MTH 325 and MTH 207,"Conditional probability and expectation, probability models, Markov chains, Poisson process, renewal theory, Brownian motion processes."
MTH 490,Topics in Mathematics,3,,,consent of instructor,Topics of special interest which may vary each time course is offered. Topic stated in current Schedule of Classes.
