Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
NUR 163,Health of the School Age Child,3,,,,School health services and health education; emphasis on health promotion and prevention of health related problems. Recognition and management of common health problems of the school age child.
NUR 200,Fundamentals of Nursing - Theory,4,,,"Nursing majors only, sophomore standing, PSY 101, SOC 100, CHM 100, 101, 162, and NUR 391","Introduction to Nursing. Concepts and theories of individuals, society, and health. Nursing process as the basis for promoting wellness within the health care delivery system."
NUR 203,Fundamentals of Nursing - Practicum,2,,,"Nursing majors only, sophomore standing, PSY 101, SOC 100, CHM 100, 101, 162, and NUR 391",Selected practicum experiences correlated with theoretical content of NUR 200 (Fundamentals of Nursing) and applied to individual's adaptive responses. Satisfactory/Unsatisfactory.
NUR 204,Introduction to Health Assessment,2,,,Nursing majors only; sophomore standing; NUR 200 (minimum grade of C)l; NUR 203 (minimum grade of S); BIO 230 (minimum grade of C); BIO 231 (minimum grade of C); FCS 301 or concurrent enrollment; PSY 303 or concurrent enrollment,Students utilize previously learned communication techniques and newly learned physical assessment techniques to complete a comprehensive approach to health history and physical assessment. Significance of normal and abnormal findings is emphasized.
NUR 206,Adult Health I: An Introduction to Medical-Surgical Nursing,3,,,"Nursing majors only, sophomore standing, BIO 230 (minimum grade of C), BIO 231 (minimum grade of C), NUR 200 (minimum grade of C), NUR 203 (minimum grade of S); FCS 301 or concurrent enrollment; PSY 303 or concurrent enrollment",An introduction to medical-surgical nursing with emphasis on health promotion and restoration. Concepts and theories of nursing care of the adult are applied to foster the adaptive response of individuals.
NUR 207,Adult Health I: An Introduction to Medical-Surgical Nursing,2,,EL,"Nursing majors only, sophomore standing, BIO 230 (minimum grade of C), BIO 231 (minimum grade of C), NUR 200 (minimum grade of C), NUR 203 (minimum grade of S); FCS 301 or concurrent enrollment; PSY 303 or concurrent enrollment",Selected practicum experiences correlated with theoretical content of NUR 206 (Adult Health 1) that foster adaptive responses. Satisfactory/Unsatisfactory.
NUR 217,Men's Health Issues,2,,,,"Biological, epidemiological, psychological, and sociological aspects of men's health. Specific preventive and health promotion activities for health problems."
NUR 219,Women and Health,3,,,,"Basic scientific and sociological knowledge related to women's health: social, emotional, and physiological components of selected health problems of women. Historical development of the health care system and social values as they relate to women and their health: evolution of health care today as it relates to women."
NUR 220,Alcohol:  Use and Abuse,3,,,,Development of alcohol as the most widely-used drug. Psychological and physiological effects on the person; effect on the family and society; therapeutic approaches to alcohol abuse.
NUR 221,Substance Abuse,3,,,,"Psychosocial and physiological impact of substance abuse on the individual, family, and society: self-awareness, culture, tolerance, withdrawal, and motivation."
NUR 300,Conceptual Bases for Professional Nursing (theory),3,,,"Nursing majors only, current LPN or RN licensure","Theories of nursing, professional roles, the nursing process, adaptation theory, nursing research, and societal influences on nursing and health."
NUR 303,Research in Nursing,3,,WI,"Nursing majors only, junior standing, ENG 101, Math 111 or concurrent enrollment","As a consumer of research, the student evaluates published nursing research and its importance to the profession. The student examines steps of the research process in critiquing literature and writing a comprehensive review of literature. Use of the computer in nursing research correlated with study of the research process."
NUR 306,Maternal-Newborn Nursing - Theory,3,,,Nursing majors only; junior standing; NUR 204 (minimum grade of C); NUR 206 (minimum grade of C); NUR 207 (minimum grade of S); FCS 301; PSY 303; PSY 311 or concurrent enrollment; BIO 202 (minimum grade of C); BIO 232 & 233 (minimum grade of C),Theoretical overview of maternal/newborn nursing with emphasis on application of the nursing process to individuals and families. Concepts and theories of nursing care of the expanding family are discussed to foster the adaptive responses.
NUR 307,Maternal-Newborn Nursing - Practicum,2,,EL,Nursing majors only; junior standing; NUR 204 (minimum grade of C); NUR 206 (minimum grade of C); NUR 207 (minimum grade of S); FCS 301; PSY 303; PSY 311 or concurrent enrollment; BIO 202 (minimum grade of C); BIO 232 & 233 (minimum grade of C),Selected practicum experiences correlated with theoretical content of NUR 306 that foster patient/client adaptive responses. Satisfactory/Unsatisfactory.
NUR 308,Nursing of Children (Theory),3,,,Nursing majors only; junior standing; NUR 204 (minimum grade of C); NUR 206 (minimum grade of C); NUR 207 (minimum grade of S); FCS 301; PSY 303; PSY 311 or concurrent enrollment; BIO 202 (minimum grade of C); BIO 232 & 233 (minimum grade of C),"Nursing care of the child with emphasis on caring for the infant, toddler, child, adolescent, and family with acute and chronic disease. Growth and development, health promotion, and disease prevention are emphasized."
