Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
PHY 100,Fundamental Physics Concepts,4,FS,NS,,"Algebra-based course for students with minimal physics background. Topics introduced include Newton's laws of motion, electromagnetism, thermodynamics, optics, and atomic theory. Emphasis is on basic physical principles. Includes laboratory."
PHY 107,General Physics I,4,FS,NS,High school physics or PHY 100,"Algebra- and trigonometry-based introductory physics course which covers Newtonian mechanics and conservation laws; fluid statics and dynamics; vibrations, waves, and sound; laws of thermodynamics. Includes laboratory."
PHY 108,General Physics II,4,FS,NS,PHY 107; MTH 115,"Continuation of PHY 107. Electric and magnetic fields; electromagnetic induction; electromagnetic waves; geometrical and physical optics; the special theory of relativity; quantum theory, atomic physics, and nuclear and particle physics. Includes laboratory."
PHY 110,University Physics I,4,FS,NS,High school physics or PHY 100; MTH 119 or MTH 121,"A calculus-based introductory physics course for scientists and engineers that covers Newton's laws of motion; conservation laws for momentum, energy, and rotational motion; oscillatory motion. Includes laboratory."
PHY 123,"Physical Science, the Basis for A Technical Society",3,FS,NS,,"A course for non-science students with minimal preparation in mathematics and science. Emphasizes basic concepts from the physical sciences and their significance for a scientifically literate society. Topics in physics, chemistry, computing, energy, and astronomy will be covered from an applications perspective. Students with prior college physics courses may not register for this course."
PHY 130,University Physics I for Scientists,4,,NS,High school physics or PHY 100; MATH 119 or MTH 121,"A calculus-based introductory physics course for scientists and honors students that covers Newton's laws of motion; conservation laws for momentum, energy, and angular momentum, oscillatory motion, fluids, and thermodynamics.  Includes laboratory."
PHY 140,Physics of the Small World: Nanophysics and Applications,3,FS,,,"The objective of this course is to educate students with all academic backgrounds in the field of nanoscience and technology, starting with discussing the basic principles and definitions associated with the nano world, the basic ideas of quantum mechanics, and the wide variety of applications of nanotechnology. Offered at the 100 level as an introduction to nanophysics and nanotechnology with the goal of introducing the general public to these topics and their applications."
PHY 167,Introduction to Fluids and Thermodynamics,2,,,High school physics or PHY 100; MTH 119 or MTH 121 Corequisite: PHY 110,"A calculus-based introductory physics course for scientists and engineers that covers elasticity, fluid mechanics, and thermal physics. Calculus used throughout.  This course meets twice/week and includes a small lab component consisting of 4-5 lab sessions."
PHY 199,Physics Seminar for New Physics Majors,1,,,,Orientation for students interested in a physics career.
PHY 201,University Physics II,4,FS,NS,PHY 110. Corequisite: MTH 223,Continuation of PHY 110 covering electric fields and DC circuits; magnetic fields; electromagnetic induction and AC circuits; Maxwell's equations; electromagnetic waves; and geometrical and physical optics. Includes laboratory.
PHY 202,Applied Quantum Physics,3,FS,,PHY 201.  Corequisite: MTH 223,An introduction to relativity and relativistic mechanics; quantum theory with applications to atomic and molecular physics; condensed matter physics; nuclear and particle physics.
PHY 320,Optics,4,,,PHY 202 or 303,"Geometrical optics: matrix methods, mirrors, lenses, fibers, thick optics, optical instruments; physical optics including interference, diffraction, polarization, lasers, and holography.  Includes lab component."
PHY 330,Classical Mechanics,3,,,PHY 201; MTH 224,Particle kinematics; Newtonian mechanics; classical gravitation; Lagrangian and Hamiltonian dynamics; linear oscillations; nonlinear oscillations; central force and planetary motion; collisions between particles; motion in noninertial systems.
PHY 355,Independent Readings,1-3,,,Junior standing; background appropriate to the study; consent of instructor,Individually assigned reading assignments of relevant topics in physics or astronomy.
PHY 360,Electricity and Magnetism,3,,,PHY 201; MTH 224,"Vector calculus, electric field, Gauss' law, scalar potential, magnetic fields, Ampere's and Faraday's Laws, electromagnetic energy, dipole fields, currents, boundary conditions, and Maxwell's equations."
