Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
PSY 101,Principles of Psychology,3,SF,SB,,Impact of social forces and institutions on individual behavior; interaction between individual and social environment.
PSY 201,Brain and Behavior,3,FS,NS,,"An introduction to the scientific study of the nervous system and its relation to behavior.   The underlying biology of learning, memory, language, sensation, emotion, reproductive behavior, psychopathology, and other topics."
PSY 205,Quantitative Methods,3,,,3 hours of college mathematics or consent of instructor,Introduction to applied statistical analysis: data reduction and representation; frequency distributions and their measures; probability; sampling theory; significance testing. Descriptive and inferential analyses are presented in the context of psychological research. Not open to non-majors with credit in QM 262 and QM 263.
PSY 206,Research Methods in Psychology,4,,WI,PSY 205 or consent of instructor,Basic principles of research design and interpretation; emphasis on experimental method. Laboratory work.
PSY 207,Analysis of Behavior,4,,,PSY 101,Environmental factors applied to specification and understanding of behavior. Laboratory work with animals.
PSY 223,Evolutionary Psychology,3,,,PSY 101 or consent of instructor,Fossil evidence for human evolution; impact of evolutionary history on the development of human behavior; how evolutionary theory can be applied to understanding human behavior in contemporary society.
PSY 245,Stress and Resilience,3,,,PSY 101 or equivalent,Analysis of psychological stress and its impact. Application of strategies to foster resilience and adaptation to adversity.
PSY 250,Environmental Psychology,3,,,PSY 101,"Environmental Psychology scientifically investigates how people interact with the space around them. Topics include environmental perception and cognition, environmental attitudes and appraisals, personality and environment, personal space, territoriality, crowding, privacy, residences, urban/suburban/rural environments, institutional and work environments, natural environments and sustainability."
PSY 280,Psychology of Religion,3,,,PSY 101,"An overview of both theory and method in the psychological study of religion. Emphasis will be on understanding the biological and psychological underpinnings of religious belief, behavior, and experience. Cross listed as RLS 280."
PSY 295,Fundamentals of Directed Research,0-3,,EL,PSY 205 or equivalent; concurrent enrollment in PSY 481 or PSY 491; consent of instructor,Students acquire skills to conduct basic research tasks within a research team or laboratory.
PSY 299,Special Topics,1-3,,,PSY 101 or equivalent; or instructor consent,"Introduction to the study of special issues related to applied and/or theoretical psychology, which may vary each time course is offered. Topic stated in current Schedule of Classes. May be repeated under a different topic for a maximum of 6 hours credit."
PSY 300,Psychology of Women,3,CD,,PSY 101,"Women and their behavior: influence of psychological, social, and biological factors."
PSY 303,Lifespan Developmental Psychology,3,,,PSY 101.  Course is not open to psychology majors,"A survey of cognitive, physical, and social development extending from infancy to advanced adulthood."
PSY 309,Human Sexuality,3,,,6 hours of psychology or consent of instructor,Current knowledge concerning human sexuality.
PSY 311,Principles of Abnormal Psychology,3,,,PSY 101.  Course is not open to psychology majors,"Survey of psychological disorders including psychotic, affective, anxiety, substance-related, and personality disorders. Current knowledge of symptoms, prevalence, course, etiology, treatment, and prevention."
PSY 313,Health Psychology,3,,,6 hours of psychology and 3 hours of biology,"Biological, psychological, and social interactions that influence an individual's state of health and illness. Stress, pain, cardiovascular risk, cancer, chronic illness, addictive behaviors."
PSY 314,Adult Development and Aging,3,,,PSY 101,"Introduction to conceptual issues, research methods, and available data in adult development and aging. Note: This course is not open to students who have completed PSY 303 (Lifespan Developmental Psychology)."
