Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
SOC 100,The Sociological Perspective,3,SF,SB,,"Sociological insight into study of humans, society, and culture."
SOC 205,"Immigration: People, Place and Power",3,,"MI,SB",Sophomore standing or consent of instructor,"This course examines the origins and outcomes of international immigration. Using perspectives and evidence from the social sciences, the natural sciences, and the humanities, we consider issues including the complex social and environmental factors that drive immigration; state, popular and media responses to immigration; and the effects of immigration, both for immigrants and for the nations they leave and enter."
SOC 210,Sociology of Families,3,,,SOC 100 or consent of instructor,"Examination of the notion of the U.S. American family from a sociological perspective.  Focus on perceptions of the family throughout U.S. American history, in mass media, and in relation to public policy; the historical transformation of families; the diverse and changing aspects of families; and the impact of social change and problems on the families of U.S.A. Emphasis on how society and the economic system affect families."
SOC 211,Contemporary Social Problems,3,,,SOC 100 or consent of instructor,"Sociological analysis of current social problems in the U.S.: poverty, racism, sexism, agism, medical care, the environment, population, urban disorganization, crime, juvenile delinquency, alcoholism, drug addiction, family disorganization, and mental illness. Use of different perspectives promotes a broad understanding of the study of social problems."
SOC 212,Sociology of Diversity,3,CD,,,"Analyzes nature, forms, and problems of social ""diversity"" with emphasis on patterns of difference and commonality, advantage, and disadvantage in the area of race, ethnicity, class, gender, sexuality, and physical disability. A particular focus will be on ways inequalities in wealth, education, employment, health, the criminal justice system, popular culture, and the political process are reproduced and challenged in contemporary societies."
SOC 240,Research Methods,3,,,SOC 100 or consent of instructor,"Social research methods: research design and models of observation, including single subject and program evaluation, quantitative and qualitative methods, sampling techniques, questionnaire construction, types of surveys, measurement problems, and data analysis."
SOC 300,Cross-Cultural Perspectives On Gender,3,NW,GP WC,"SOC 100, ANT 101, or consent of instructor","Examines the construction of gender in non-western societies, concentrating on the way gender shapes and is shaped by power relations in these societies."
SOC 311,Comparative Family Systems,3,NW,GP WC,"SOC 100, ANT 101, or consent of instructor","Comparative study of non-Western family systems, with a focus on cross-cultural differences and the potential conflicts of migration. Varying focus on families of Asia, Africa, and the Middle East."
SOC 312,Social Inequality,3,SF,SB,SOC 100 or consent of instructor,"Inequality in income, wealth, prestige, and power. Theories explaining roots of and changes in inequality. Emphasis on the U.S.; variations in the extent and forms of inequality across different nations."
SOC 313,"Race, Ethnicity,  and Power",3,,"WI,SB","SOC 100, SOC 212 or consent of instructor","Analysis of dominant-minority group relations. The emergence and dynamic of racism. Exploration of the experience of various ethnic and ""racial"" groups."
SOC 315,Gender and Society,3,SF,SB,SOC 100 or instructor consent,"An examination of gender as a system of stratification, as a social construction, and as a system of meaning which changes trans-historically and differs cross-culturally. Focus on structural and interactional aspects of gender inequality, as well as the relationship between gender and other social hierarchies, including class, race, ethnicity, religion, and sexuality."
SOC 316,Sociology of Work and Occupations,3,,,SOC 100 or consent of instructor,"The organization of work, occupational processes, and experiences of workers with a focus on the manufacturing industry and the impact of technology on the structure of work; the rise of the service sector; the emergence of temporary and contract work; professions and professionalization; workplace inequality; and the intersection of gender, family, and work."
SOC 320,Social Theory,3,,,"SOC Major, SOC Minor, or consent of Instructor",Development of contemporary social thought from its Euro- American roots. Covers major strands of both classic and contemporary social theory.
SOC 321,Individual and Society,3,HP,,Junior standing or consent of instructor,"Various philosophical conceptions of the relationship between the individual and social order; nature and status of individuality in the modern world. Emphasis on critical evaluation of influential systems of thought: Marxism, phenomenology, and critical theory."
SOC 322,Self and Social Interaction,3,,,SOC 100 or instructor consent,"Focus on relationship between individuals and the broader society, the formation of personality, and group influences on human perception and behavior."
SOC 325,Environmental Sociology,3,,SB,,"This course introduces students to the social causes and consequences of environmental problems and the conflicting interests and power dynamics that make sustainable solutions difficult to find and implement. The course begins by examining a range of philosophical perspectives on the relationship between Humans and Nature, followed by a brief survey of the range and extent of current environmental crises. We will then focus on four macro-sociological causes of environmental harm worldwide: international development, modern agriculture, armed violence, and energy production. Special attention will be paid to the linkages between environmental harm and political and economic inequality."
SOC 326,Sociology of Globalization,3,SF,,SOC 100 or consent of instructor,"Analysis of the process of global integration and its impact on communities, social institutions, and culture. Emphasis on theories of social change and social conflict over the nature and pace of globalization and its impact on non-Western societies. Focus on social class, ethnicity, gender, media, religion, the environment, and social problems confronting non-Western Societies."
SOC 330,Perspectives On Deviance,3,,,SOC 100,"Analysis of the concept and nature of deviance and its various forms, with emphasis on various theoretical perspectives on nature and causation of deviance."
SOC 331,Correctional Policies and Society,3,,,SOC 100,"Analysis of theoretical and practical aspects of corrections, concepts of punishment and treatment, and their variations in practice. Includes analysis and evaluation of specific alternatives: prisons, probation, treatment centers, and sentencing."
SOC 332,Juvenile Delinquency,3,,,SOC 100,Analysis of the nature and origin of juvenile delinquency within an historical and theoretical context with emphasis on causation of delinquency and evaluation of different responses to it.
SOC 333,Sociology of Violence,3,,,SOC 100,"Sociological analysis of the concept and nature of violence in a macro and micro setting, its various manifestations, and evaluation of responses to it."
SOC 334,Crime and Society,3,,,SOC 100,"Analysis of the concept and nature of crime, the relationship between social structures, social institutions, and crime with a focus on social forces and social controls involved in the creation of crime."
SOC 341,Medical Sociology,3,,,"SOC 100, ANT 101, or consent of instructor","Application of a critical perspective to the institution of medicine. Focus on epidemiology, the social construction of illness, and current healthcare trends."
SOC 342,Social Policy,3,,,SOC 100 or consent of instructor,"Focuses on the major institutions of social structure, such as education, family, government, healthcare, work, and the legal system. Investigates why social policies are developed, how social policy is implemented, and the direct and indirect effects of policy."
SOC 343,Sociology of Mental Health,3,,,SOC 100 or consent of instructor,"Emphasis on social, cultural, and political factors involved in the definition and control of mental illness. Topics include labeling theory, the impact of status characteristics and social relationships on levels of stress, and legal and ethical issues associated with current modes of treatment."
SOC 344,Social Movements,3,,,,"In some contexts, social movements have been considered legitimate political actors; in others, treacherous and subversive. Always they constitute a potential threat to those in power. When do movements emerge and how are they organized? How and when can they successfully bring about social change? We will examine key aspects of social movement theory and practice against the backdrop of a number of important American and international movements that have emerged in the last half century, such as the American civil rights, women's, environmental, and anti-war movements of the 1960s and 70s, the current ""Fight for 15"" and Black Lives Matter movements, and the global justice, autonomist, and Occupy movements internationally."
SOC 345,"People, Power, and Politics",3,,,,"This course will introduce students to major themes, concepts, and debates in political sociology. Focus is on the relations of power between the State and other collective actors in society (e.g. interest groups, political parties, social classes, and social movements), with an emphasis on key axes of contention in US politics today, such as: the political power of corporations; the separation of church and state; political parties, polarization, and congressional gridlock; the trade-off between liberty and equality in free market, socialist, and social democratic systems; taxation and the role of the State in addressing social inequality; and the tension between national security and civil/human rights."
