Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
THE 107,Practicum,0.5,,,,Variety of theatre assignments and performance responsibility working on productions.
THE 108,Practicum,0.5,,,,Variety of theatre assignments and performance responsibility working on productions.
THE 115,Fundamentals of Acting,3,,,,"An introduction to the theories, principles, and practices of acting for the stage."
THE 121,Contemporary Theatre Practice,3,,,,An introduction to the trends and issues in today's theatre with an emphasis on the process of creating collaborative art and building a shared vocabulary and personal aesthetic.
THE 123,Script Analysis for the Theatre,3,,,,"A study of the essential elements of dramatic structure over a range of periods, genres and styles, with an emphasis on the practical imperatives of illuminating dramatic action in theatrical production."
THE 125,Stagecraft,3,,,,"An introduction to the principles and practices of scenic construction, safety, painting, and lighting. Explores types and utilization of scenery for theatre. Practical application through projects and work in the University Theatre."
THE 131,Introduction to Theatre,3,FA,FA,,"Encouraging audience appreciation of the theatre through attending area theatre activities, discussions, and supplementary readings."
THE 141,Film Appreciation,3,FA,FA,,"Encouraging audience appreciation of film art by surveying film history, genres, and technique through lecture, discussion, supplemental reading, and the viewing of domestic and foreign films."
THE 201,The Actor's Instrument I,3,,,"THE 115, THE 121, and acceptance in the Performance Concentration or consent of instructor and department chair","Techniques for developing a unified practice in voice and movement for rehearsal and performance on stage. Basic anatomy the voice and body, especially as they relate to breath, support, and alignment. Working from a ""neutral state"" individually and in groups, recognizing ad correcting inefficient behaviors, learning the International Phonetic alphabet, and foundational work with poetic texts and period movement."
THE 203,The Actor's Instrument II,3,,,THE 115; THE 121; THE 201; THE 215 and acceptance in the Performance Concentration or consent of instructor and department chair,"A continuation of the principles and techniques introduced in THE 201, The Actor's Instrument I."
THE 207,Practicum,0.5,,,THE 107 or THE 108 or consent of instructor and department chair,"Continuation of THE 107, THE 108."
THE 208,Practicum,0.5,,,THE 107 or THE 108 or consent of instructor and department chair,"Continuation of THE 107, THE 108."
THE 215,Intermediate Acting,3,,,"THE 115, THE 121, THE 123, and acceptance in the Performance Concentration or consent of instructor and department chair","Continuation of THE 115 focusing on the development of the actor's technique through script analysis, exercises, and scene study."
THE 216,Acting: Physical Styles,3,,,THE 115,Exploration of physical approaches to the creation of theatre.
THE 223,Producing for the Arts,3,,,"THE 121 and THE 123, or consent of instructor and department chair","The work of the theatrical producer and non-profit arts manager in the 21st century, with an emphasis on mission; institutional organization and culture; program selection; budgeting; audience development; grants, fund raising, and crowd sourcing; community engagement; marketing and public relations."
THE 225,Advanced Stagecraft,3,,,THE 226 and acceptance into the Production Concentration or consent of instructor and department chair,"A continuation of THE 125. Advanced principles and practices of scenic construction, safety, painting, and technical direction. Practical application through projects and work in the University Theatre."
