Num.,Course Name,Hours,Gen. Ed.,Core. Curr.,Prerequisites,Description
WLA 101,Elementary Arabic I,4,,,,"Introduction to basic grammatical structures and vocabulary of Modern Standard Arabic.  Acquisition of language skills of listening, speaking, reading, and writing, with emphasis on fundamentals of pronunciation and writing.  Laboratory included."
WLA 102,Elementary Arabic II,4,,,WLA 101,"Introduction to basic grammatical structures and vocabulary of Modern Standard Arabic.  Acquisition of language skills of listening, speaking, reading, and writing, with emphasis on fundamentals of pronunciation and writing.  Laboratory included."
WLA 201,Intermediate Arabic I,4,,,WLA 102,"Continuation and review of basic grammatical structures and vocabulary of Modern Standard Arabic. Emphasis on further development of the four language skills through oral and written practice and short readings in literature, culture, and civilization."
WLA 202,Intermediate Arabic II,3,,,WLA 201,"Continuation and review of basic grammatical structures and vocabulary of Modern Standard Arabic. Emphasis on further development of the four language skills through oral and written practice and short readings in literature, culture, and civilization."
WLC 101,Elementary Chinese,4,,,,"Elementary Chinese.  Introduction to basic grammatical structures and vocabulary of Mandarin.  Acquisition of language skills of listening, speaking, reading, and writing, with emphasis on fundamentals of pronunciation and writing.  Laboratory included."
WLC 102,Elementary Chinese,4,,,WLC 101,"Elementary Chinese.  Introduction to basic grammatical structures and vocabulary of Mandarin.  Acquisition of language skills of listening, speaking, reading, and writing, with emphasis on fundamentals of pronunciation and writing.  Laboratory included."
WLC 201,Intermediate Chinese I,4,,,WLC 102,"Continuation and review of basic grammatical structures and vocabulary of Mandarin.  Emphasis on further development of the four language skills through oral and written practice and short readings in literature, culture, and civilization."
WLC 202,Intermediate Chinese II,3,,,WLC 201,"Continuation and review of basic grammatical structures and vocabulary of Mandarin.  Emphasis on further development of the four language skills through oral and written practice and short readings in literature, culture, and civilization."
WLF 101,Elementary French 1,4,,,,"Development of communication skills (listening, speaking, reading and writing) in French. Emphasis on the practice of vocabulary and grammatical structures in meaningful communicative tasks and authentic cultural contexts. Laboratory included. First course in three-course sequence."
WLF 102,Elementary French 2,4,,,WLF 101 or equivalent is prerequisite for WLF 102,"Continued emphasis on the development of listening, speaking, reading, and writing in French. Focus on the practice of vocabulary and grammatical structures in meaningful communicative tasks and authentic cultural contexts.  Laboratory included. Second course in three-course sequence."
WLF 201,Intermediate French 1,4,,,WLF 102 or equivalent; WLF 201 is a prerequisite for WLF 202,"Further refinement of listening, speaking, reading, and writing skills in meaningful communicative tasks and authentic cultural contexts. Oral and written practice closely linked to cultural and literary readings and videos. Laboratory included. Third course in three-course sequence."
WLF 202,Intermediate French 2,3,,GP WC,WLF 201 or equivalent,A transition course between elementary language and advanced content courses. Emphasis on contemporary culture with an increased focus on reading and writing.  Continuation and refinement of grammatical structures and vocabulary as well as the development of speaking and listening skills in a content-based classroom.
WLF 301,Paris,3,,EL,WLF 202 or equivalent,"Explores the French capital from its founding to the present, examining its role in French history, culture, and literature. This course is only offered in Paris."
WLF 303,Composition,3,,,WLF 202 or equivalent,"Emphasis on developing skills for written expression through writing letters, reports, and essays."
WLF 306,Composition and Conversation,3,,,WLF 202,"Expands writing and speaking skills through the exploration of cultural issues in the French-speaking world.  Students study topical subjects such as technology, globalization, immigration, and cultural identity while reviewing advanced grammar topics in context."
